DT_MEDICAO,TEMP_MIN,TEMP_MED,TEMP_MAX,CHUVA,UMID_MIN,UMID_MED,VEL_VENTO_MED
2018-10-10,,,,,,,
2018-10-11,,,,,,,
2018-10-12,,,,,,,
2018-10-13,,,,,,,
2018-10-14,,,,,,,
2018-10-15,,,,,81.0,,
2018-10-16,,,,,72.0,,
2018-10-17,20.8,23.3,27.4,,65.0,79.9,1.0
2018-10-18,21.8,23.9,27.1,1.0,71.0,84.7,0.7
2018-10-19,22.1,25.5,31.4,0.0,53.0,76.7,1.0
2018-10-20,20.8,23.7,28.3,0.0,35.0,54.9,1.9
2018-10-21,11.9,20.4,26.5,0.0,37.0,56.9,1.3
2018-10-22,13.9,19.5,26.2,0.0,49.0,73.1,0.8
2018-10-23,13.7,22.4,32.1,0.0,38.0,75.0,0.9
2018-10-24,18.1,24.2,30.9,0.0,46.0,76.2,0.9
2018-10-25,20.7,21.2,23.9,10.2,69.0,87.7,0.8
2018-10-26,18.8,21.3,25.4,10.2,71.0,89.6,0.8
2018-10-27,20.5,24.5,31.0,2.4,59.0,81.7,1.0
2018-10-28,19.3,23.9,28.8,7.8,44.0,67.3,1.7
2018-10-29,16.6,19.6,22.5,0.0,59.0,79.8,1.2
2018-10-30,17.7,21.5,27.2,0.0,57.0,75.7,1.1
2018-10-31,20.4,23.9,31.1,0.0,50.0,75.7,0.7
2018-11-01,19.9,24.2,32.9,0.0,46.0,81.3,1.1
2018-11-02,19.7,23.8,29.0,21.0,56.0,80.4,1.3
2018-11-03,21.0,24.9,31.9,0.0,49.0,77.7,0.9
2018-11-04,21.7,25.9,34.0,0.0,43.0,75.9,1.1
2018-11-05,20.5,21.5,23.5,26.4,70.0,86.1,1.2
2018-11-06,19.2,22.4,26.7,0.0,56.0,75.2,1.3
2018-11-07,20.7,24.0,31.4,0.0,48.0,78.5,1.0
2018-11-08,18.9,20.4,22.2,59.2,75.0,91.7,1.0
2018-11-09,18.1,20.0,22.6,20.6,77.0,90.1,0.9
2018-11-10,18.9,21.9,26.4,1.8,64.0,85.3,1.0
2018-11-11,19.8,23.8,29.9,1.2,51.0,77.6,0.8
2018-11-12,20.3,24.7,30.9,0.0,48.0,74.9,1.4
2018-11-13,21.4,25.2,32.1,0.0,47.0,75.2,1.4
2018-11-14,22.5,26.6,33.6,0.0,42.0,73.9,1.2
2018-11-15,22.5,26.2,33.2,0.0,51.0,76.3,1.2
2018-11-16,21.4,24.4,31.6,0.0,56.0,83.7,1.0
2018-11-17,19.7,23.3,28.5,13.4,60.0,82.5,0.9
2018-11-18,21.6,25.3,31.0,0.0,45.0,72.2,1.2
2018-11-19,21.4,23.1,28.0,0.0,61.0,85.9,0.8
2018-11-20,18.8,19.6,21.2,35.2,83.0,92.4,0.8
2018-11-21,18.6,20.3,22.0,16.2,83.0,91.8,0.8
2018-11-22,18.0,22.7,27.5,3.4,58.0,81.0,1.3
2018-11-23,19.0,23.2,30.3,0.0,51.0,79.3,1.1
2018-11-24,18.9,23.2,28.0,0.2,55.0,80.4,0.9
2018-11-25,20.5,24.4,30.3,0.0,44.0,76.3,1.2
2018-11-26,19.7,24.0,31.9,1.0,44.0,77.0,1.1
2018-11-27,18.6,23.0,30.8,0.0,44.0,79.6,1.0
2018-11-28,18.9,24.2,30.8,3.0,44.0,71.9,1.1
2018-11-29,18.6,24.2,31.4,0.0,42.0,69.6,0.9
2018-11-30,18.6,24.4,33.3,0.0,46.0,77.5,0.8
2018-12-01,21.0,23.5,27.6,17.0,68.0,85.8,0.9
2018-12-02,22.1,24.4,30.2,0.4,63.0,87.5,1.0
2018-12-03,21.3,23.4,27.1,23.6,64.0,82.8,1.2
2018-12-04,20.5,23.6,28.6,0.0,54.0,75.8,1.1
2018-12-05,21.5,24.8,32.3,0.0,49.0,76.5,1.2
2018-12-06,19.4,25.2,31.9,1.8,51.0,79.3,1.1
2018-12-07,20.5,23.2,27.8,0.0,61.0,78.0,1.0
2018-12-08,19.2,21.6,25.8,73.0,47.0,78.8,0.9
2018-12-09,12.8,19.8,26.1,3.0,45.0,70.4,1.5
2018-12-10,14.9,21.8,28.7,0.0,46.0,72.8,1.0
2018-12-11,17.5,24.1,33.1,0.0,41.0,76.7,0.9
2018-12-12,18.9,26.1,34.3,0.0,42.0,72.0,1.2
2018-12-13,19.7,26.4,34.5,0.0,39.0,70.2,1.1
2018-12-14,19.5,26.6,35.5,0.0,35.0,70.0,0.8
2018-12-15,20.1,27.6,35.9,0.0,35.0,70.0,1.0
2018-12-16,20.6,26.8,33.9,0.0,44.0,78.1,1.0
2018-12-17,19.7,26.1,33.6,0.0,41.0,78.1,0.9
2018-12-18,20.4,27.5,36.0,0.0,41.0,86.2,0.9
2018-12-19,22.1,28.1,36.4,0.0,,,1.3
2018-12-20,21.7,27.5,35.6,1.6,41.0,,0.9
2018-12-21,22.2,26.9,35.3,0.0,,,0.9
2018-12-22,19.6,27.4,37.3,0.0,,,1.0
2018-12-23,20.9,27.5,37.7,0.0,,,1.2
2018-12-24,22.3,25.0,32.2,0.0,,,1.1
2018-12-25,20.9,24.0,29.9,60.2,,,0.9
2018-12-26,21.4,22.9,25.9,4.4,,,0.8
2018-12-27,20.5,21.8,23.7,16.0,84.0,91.0,0.8
2018-12-28,21.2,24.2,30.9,19.6,57.0,83.3,1.1
2018-12-29,20.5,25.1,32.5,1.4,90.0,,1.1
2018-12-30,20.4,25.6,33.4,6.2,,,1.0
2018-12-31,21.4,25.1,33.0,5.0,,,0.9
2019-01-01,19.9,25.1,33.2,0.0,,,1.0
