UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
78.7,2021-01-01,CARMO,42,26,0,-21.938745,21,34.3,RJ,1,A629,-42.600936
81.3,2021-01-02,CARMO,52,24.3,8,-21.938745,21.1,30.3,RJ,1.3,A629,-42.600936
80.5,2021-01-03,CARMO,51,24,2.4,-21.938745,20.7,30.8,RJ,1.2,A629,-42.600936
82.8,2021-01-04,CARMO,55,23.8,12.6,-21.938745,20.6,29.7,RJ,1.1,A629,-42.600936
76.8,2021-01-05,CARMO,48,25.7,0,-21.938745,20,33.4,RJ,1,A629,-42.600936
83.6,2021-01-06,CARMO,52,25.5,0,-21.938745,21.9,34.1,RJ,1,A629,-42.600936
83.7,2021-01-07,CARMO,51,25.6,48,-21.938745,20.2,34.2,RJ,0.8,A629,-42.600936
81.3,2021-01-08,CARMO,58,26.4,1.8,-21.938745,22.3,31.5,RJ,1.1,A629,-42.600936
79.5,2021-01-09,CARMO,56,26.7,0,-21.938745,23,32.6,RJ,1,A629,-42.600936
79.6,2021-01-10,CARMO,59,27.3,0,-21.938745,23,32.5,RJ,1,A629,-42.600936
81.8,2021-01-11,CARMO,60,26.1,25.2,-21.938745,22.1,32.1,RJ,0.9,A629,-42.600936
78.8,2021-01-12,CARMO,58,26.1,0,-21.938745,21.7,32.3,RJ,0.9,A629,-42.600936
75.6,2021-01-13,CARMO,50,26.1,0,-21.938745,21.5,32,RJ,1.4,A629,-42.600936
75.3,2021-01-14,CARMO,45,25.3,0,-21.938745,19.7,32.8,RJ,1.1,A629,-42.600936
72.4,2021-01-15,CARMO,46,25.7,0,-21.938745,21.1,32,RJ,1.4,A629,-42.600936
70.5,2021-01-16,CARMO,50,25.7,0,-21.938745,21.3,31.9,RJ,1.4,A629,-42.600936
69.9,2021-01-17,CARMO,40,25.9,0,-21.938745,22.3,31.8,RJ,1.2,A629,-42.600936
70.9,2021-01-18,CARMO,37,25.1,0,-21.938745,18.4,33.5,RJ,0.9,A629,-42.600936
69.6,2021-01-19,CARMO,30,25.8,0,-21.938745,18.7,34.2,RJ,0.8,A629,-42.600936
70.3,2021-01-20,CARMO,36,25.7,0,-21.938745,18.5,33.6,RJ,0.9,A629,-42.600936
69.8,2021-01-21,CARMO,40,25.1,0,-21.938745,18.2,32.8,RJ,1.2,A629,-42.600936
74.2,2021-01-22,CARMO,45,24.5,0,-21.938745,18.4,32.6,RJ,1.4,A629,-42.600936
70,2021-01-23,CARMO,38,24.9,0,-21.938745,18.1,32.4,RJ,1.3,A629,-42.600936
67.6,2021-01-24,CARMO,42,24.9,0,-21.938745,18,32,RJ,1.1,A629,-42.600936
72.3,2021-01-25,CARMO,43,24.9,0,-21.938745,18,33,RJ,1,A629,-42.600936
72.5,2021-01-26,CARMO,42,25.9,0,-21.938745,20.1,33.2,RJ,0.9,A629,-42.600936
70.4,2021-01-27,CARMO,37,25.9,0,-21.938745,18.8,34,RJ,1,A629,-42.600936
68.6,2021-01-28,CARMO,35,26,0,-21.938745,17.9,34.7,RJ,0.9,A629,-42.600936
67.8,2021-01-29,CARMO,36,26.4,0,-21.938745,18.8,35.3,RJ,0.9,A629,-42.600936
66.3,2021-01-30,CARMO,36,27.6,0,-21.938745,21.2,35,RJ,0.9,A629,-42.600936
69,2021-01-31,CARMO,39,26.2,0,-21.938745,18.8,33.9,RJ,0.9,A629,-42.600936
70,2021-02-01,CARMO,40,26.4,0,-21.938745,19.6,34.9,RJ,1.1,A629,-42.600936
68.6,2021-02-02,CARMO,42,26.8,0,-21.938745,20.9,34.6,RJ,1,A629,-42.600936
69,2021-02-03,CARMO,34,26.7,0,-21.938745,19.7,35.5,RJ,0.9,A629,-42.600936
69.2,2021-02-04,CARMO,38,26.8,0,-21.938745,19.2,35.9,RJ,1.1,A629,-42.600936
77.4,2021-02-05,CARMO,54,25.8,0,-21.938745,23.1,31.4,RJ,1,A629,-42.600936
90.1,2021-02-06,CARMO,72,23.4,13,-21.938745,21.7,28.1,RJ,0.9,A629,-42.600936
91.1,2021-02-07,CARMO,74,21.2,31,-21.938745,20.2,24.3,RJ,0.9,A629,-42.600936
84,2021-02-08,CARMO,58,22.2,19.6,-21.938745,19.2,27.5,RJ,1.1,A629,-42.600936
90.5,2021-02-09,CARMO,71,21.8,0.2,-21.938745,20.3,25.4,RJ,0.8,A629,-42.600936
80.1,2021-02-10,CARMO,56,23.4,15.4,-21.938745,18.6,29.5,RJ,0.8,A629,-42.600936
76.2,2021-02-11,CARMO,50,25.3,0,-21.938745,22.1,32.2,RJ,1.3,A629,-42.600936
87.8,2021-02-12,CARMO,62,23,2,-21.938745,20.5,29.4,RJ,0.9,A629,-42.600936
85.7,2021-02-13,CARMO,63,24.7,0.6,-21.938745,22.1,28.5,RJ,0.7,A629,-42.600936
79.7,2021-02-14,CARMO,51,25.6,4.8,-21.938745,21.4,31.9,RJ,1,A629,-42.600936
82.9,2021-02-15,CARMO,54,25.3,0,-21.938745,23,32,RJ,0.9,A629,-42.600936
79.8,2021-02-16,CARMO,50,25.1,19.2,-21.938745,20,32.9,RJ,1,A629,-42.600936
79.9,2021-02-17,CARMO,56,25.6,4.2,-21.938745,20.7,32.3,RJ,0.9,A629,-42.600936
81.8,2021-02-18,CARMO,57,24.6,6.4,-21.938745,20.3,30.2,RJ,1.1,A629,-42.600936
87.1,2021-02-19,CARMO,69,25,2.8,-21.938745,22.7,29.8,RJ,1,A629,-42.600936
82.7,2021-02-20,CARMO,46,25.6,0.2,-21.938745,22.7,33.2,RJ,1.1,A629,-42.600936
78.4,2021-02-21,CARMO,51,25.1,83.6,-21.938745,19.7,31.8,RJ,1.2,A629,-42.600936
80.1,2021-02-22,CARMO,52,24.9,6.8,-21.938745,21.3,31.8,RJ,1.2,A629,-42.600936
78.4,2021-02-23,CARMO,49,24.9,0,-21.938745,20.7,31,RJ,1,A629,-42.600936
74.8,2021-02-24,CARMO,39,25.3,0,-21.938745,18.8,33.2,RJ,0.9,A629,-42.600936
73.8,2021-02-25,CARMO,32,24.6,0,-21.938745,18.1,32.9,RJ,0.7,A629,-42.600936
82.2,2021-02-26,CARMO,54,24.5,0,-21.938745,20.3,30.3,RJ,0.9,A629,-42.600936
81.4,2021-02-27,CARMO,51,24.8,5,-21.938745,22,29.8,RJ,1.1,A629,-42.600936
78,2021-02-28,CARMO,55,24.7,0.8,-21.938745,20.4,30.1,RJ,1.2,A629,-42.600936
81.5,2021-03-01,CARMO,56,23.5,0.6,-21.938745,18.9,29.6,RJ,1,A629,-42.600936
76.1,2021-03-02,CARMO,45,24.6,0,-21.938745,18.8,31.5,RJ,1,A629,-42.600936
77.9,2021-03-03,CARMO,42,24.4,0.2,-21.938745,18.7,32.8,RJ,0.7,A629,-42.600936
76.6,2021-03-04,CARMO,43,24.9,0.2,-21.938745,19.5,32.9,RJ,0.9,A629,-42.600936
76.3,2021-03-05,CARMO,45,25.2,0.6,-21.938745,19.7,33.7,RJ,1,A629,-42.600936
82.3,2021-03-06,CARMO,50,24.9,27.8,-21.938745,21.2,32.2,RJ,1.2,A629,-42.600936
92.1,2021-03-07,CARMO,71,22.7,10.8,-21.938745,20.7,27.4,RJ,0.8,A629,-42.600936
87.4,2021-03-08,CARMO,65,23.8,7.4,-21.938745,21.5,28.9,RJ,1.2,A629,-42.600936
84.2,2021-03-09,CARMO,58,23.8,17.8,-21.938745,21.2,29.6,RJ,1,A629,-42.600936
82.2,2021-03-10,CARMO,57,24.5,11.6,-21.938745,20.9,30.3,RJ,1,A629,-42.600936
81.2,2021-03-11,CARMO,58,25.1,6.2,-21.938745,21.2,31.3,RJ,1.1,A629,-42.600936
