local;latitude;longitude;altitude;codigo
ALTO DA BOA VISTA;-22.96583333;-43.27916666;347.1;83007
CAMPOS;-21.74249999;-41.33277777;11.2;83698
CORDEIRO;-22.02222221;-42.36444444;505.9;83718
IGUABA GRANDE;-22.84694444;-42.18555555;5.6;83114
ITAPERUNA;-21.20444444;-41.90555555;123.6;83695
RESENDE;-22.45111111;-44.44472221;439.9;83738
SANTA MARIA MADALENA;-21.96805554;-42.00305555;640;83696
SANTO ANTONIO DE PADUA;-21.53694444;-42.16083333;95;83805
TERESOPOLIS;-22.41722221;-42.97222221;874.2;83744
