DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
MONTES CLAROS,MG,Operante,-16.68638888,-43.84388888,645.87,31/12/1911,
MORADA NOVA,CE,Operante,-5.13666666,-38.35666666,45.02,30/09/1962,
MORRO DO CHAPEU,BA,Operante,-11.547494,-41.151165,1001.66,12/01/1913,
MUNIZ FREIRE,ES,Operante,-20.46583333,-41.41194444,530,31/10/1976,
NATAL,RN,Operante,-5.83722221,-35.20777777,47.68,31/12/1910,
NOVA XAV.(XAVANTINA),MT,Operante,-14.697917,-52.350226,305.33,04/08/1987,
OURICURI,PE,Operante,-7.87944443,-40.09194444,462.01,15/09/1975,
PADRE RICARDO REMETTER,MT,Operante,-15.776,-56.072,140,31/12/1985,
PALMAS,TO,Operante,-10.190897,-48.301822,291.68,07/10/1993,
PALMEIRA DOS INDIOS,AL,Operante,-9.42027777,-36.62027777,277.98,31/12/1927,
PAO DE ACUCAR,AL,Operante,-9.74916666,-37.43083332,20.86,13/03/1927,
PARANAIBA,MS,Operante,-19.66361111,-51.19138888,429.62,06/07/1971,
PASSA QUATRO,MG,Operante,-22.382805,-44.966902,919.55,28/07/1912,
PASSO FUNDO,RS,Operante,-28.2286111,-52.41194444,684.05,31/07/1912,
PATOS,PB,Operante,-7.05361111,-37.27388888,251.65,16/10/1975,
PAULISTANA,PI,Operante,-8.13222221,-41.14305555,376,21/09/1975,
PEDRA AZUL,MG,Operante,-16.00944444,-41.2811111,647.97,30/09/1918,
PEDRO AFONSO,TO,Operante,-8.9686111,-48.17722221,189.53,03/03/1977,
PELOTAS,RS,Operante,-31.78333333,-52.41666666,13,31/12/1925,
PETROLINA,PE,Operante,-9.3886111,-40.52333332,372.54,31/12/1940,
PICOS,PI,Operante,-7.08083332,-41.43499999,210.07,31/10/1923,
PIRENOPOLIS,GO,Operante,-15.85472222,-48.96611111,766.92,16/02/1977,
PIRIPIRI,PI,Operante,-4.2761111,-41.79444444,157.89,08/03/1976,
PORTO ALEGRE,RS,Operante,-30.05361111,-51.17472221,41.18,08/12/1909,
PORTO DE MOZ,PA,Operante,-1.751055,-52.236186,13.08,22/04/1928,
PORTO DE PEDRAS,AL,Operante,-9.162012,-35.299881,42.21,13/03/1927,
PORTO NACIONAL,TO,Operante,-10.71083333,-48.40638888,243.28,31/12/1914,
POSSE,GO,Operante,-14.08916666,-46.36666666,830.35,03/08/1975,
PROPRIA,SE,Operante,-10.21376,-36.842198,18.46,09/05/1925,
QUIXERAMOBIM,CE,Operante,-5.17305554,-39.28722221,227.33,31/12/1895,
RESENDE,RJ,Operante,-22.45111111,-44.44472221,439.9,21/05/1944,
RIO BRANCO,AC,Operante,-9.95916666,-67.86888888,160.71,31/12/1928,
RIO VERDE,GO,Operante,-17.78527777,-50.96472222,780.04,31/12/1970,
SALINAS,MG,Operante,-16.154862,-42.284921,476.07,04/03/1925,
SALVADOR (ONDINA),BA,Operante,-13.00583333,-38.50583333,47.35,31/12/1902,
SANTA MARIA,RS,Operante,-29.72472221,-53.72055554,103.1,31/12/1911,
SANTA MARIA MADALENA,RJ,Operante,-21.96805554,-42.00305555,640,20/12/1921,
SANTA VITORIA DO PALMAR,RS,Operante,-33.53166666,-53.35027777,24.01,30/09/1912,
SANTO ANTONIO DE PADUA,RJ,Operante,-21.53694444,-42.16083333,95,31/03/1924,
SAO CARLOS,SP,Operante,-21.98027777,-47.88388888,859.77,23/09/1939,
SAO GABRIEL DA CACHOEIRA(UAUPES),AM,Operante,-0.12527777,-67.06111111,79.71,31/03/1920,
SAO GONCALO,PB,Operante,-6.83583333,-38.31166666,237.04,07/10/1938,
SAO JOAO DO PIAUI,PI,Operante,-8.365,-42.25027777,237.02,29/09/1975,
SAO LOURENCO,MG,Operante,-22.126273,-45.043327,930.65,03/02/1922,
SAO LUIS,MA,Operante,-2.52666666,-44.21361111,32.58,17/11/1924,
