DT_MEDICAO,TEMP_MIN,TEMP_MED,TEMP_MAX,CHUVA,UMID_MIN,UMID_MED,VEL_VENTO_MED
2018-10-15,,,,,,,
2018-10-16,,,,,83.0,,
2018-10-17,18.4,20.8,25.1,,68.0,87.1,0.4
2018-10-18,19.8,21.7,25.5,2.2,73.0,91.5,0.2
2018-10-19,20.3,22.6,28.4,0.2,61.0,87.2,0.5
2018-10-20,16.9,18.7,22.6,15.4,51.0,76.8,2.5
2018-10-21,13.8,17.1,22.2,0.0,49.0,69.0,1.8
2018-10-22,11.9,17.3,22.7,0.0,57.0,78.4,0.6
2018-10-23,12.5,20.2,29.9,0.0,40.0,75.0,0.7
2018-10-24,17.4,21.2,27.1,0.0,59.0,81.4,1.8
2018-10-25,18.5,19.3,21.6,1.6,78.0,91.8,0.4
2018-10-26,17.4,19.6,22.8,9.6,79.0,91.5,0.6
2018-10-27,19.0,22.3,28.6,1.0,64.0,85.8,0.6
2018-10-28,18.1,20.8,25.0,1.8,53.0,77.2,1.0
2018-10-29,15.3,16.9,19.1,0.2,70.0,81.3,1.2
2018-10-30,15.7,19.0,23.6,0.0,61.0,80.9,0.5
2018-10-31,16.2,21.1,28.3,0.0,54.0,82.6,0.4
2018-11-01,18.1,23.0,31.4,0.0,51.0,82.7,0.4
2018-11-02,17.6,20.6,24.4,3.4,65.0,85.0,1.2
2018-11-03,17.1,22.0,29.5,0.2,52.0,80.0,0.6
2018-11-04,19.5,22.5,29.3,0.0,53.0,84.1,1.2
2018-11-05,16.9,17.7,19.6,15.8,85.0,91.6,2.2
2018-11-06,16.2,18.7,22.9,1.6,72.0,86.5,1.3
2018-11-07,17.8,21.4,27.2,0.6,55.0,83.4,0.6
2018-11-08,17.9,18.9,21.0,10.4,75.0,91.3,0.8
2018-11-09,16.1,18.0,20.1,14.6,87.0,94.3,0.1
2018-11-10,17.1,20.3,25.7,7.4,62.0,86.7,0.5
2018-11-11,17.8,21.7,27.8,0.2,52.0,80.3,0.6
2018-11-12,18.1,21.9,28.0,0.0,59.0,81.6,0.9
2018-11-13,17.4,22.3,29.0,0.0,53.0,81.2,0.8
2018-11-14,20.5,23.4,30.0,0.0,51.0,81.0,0.6
2018-11-15,18.7,23.5,30.6,0.0,55.0,80.7,0.9
2018-11-16,21.1,22.6,25.2,0.6,76.0,88.6,1.1
2018-11-17,19.5,21.2,25.2,26.6,68.0,83.7,1.9
2018-11-18,17.7,22.2,28.6,0.0,56.0,83.0,0.5
2018-11-19,18.6,22.0,25.7,0.0,62.0,84.7,0.4
2018-11-20,16.5,17.4,20.3,23.8,87.0,92.3,1.9
2018-11-21,16.4,18.5,21.0,25.2,83.0,92.2,0.5
2018-11-22,15.8,20.4,26.5,3.2,60.0,85.9,0.4
2018-11-23,18.0,22.2,28.3,0.0,49.0,78.3,0.5
2018-11-24,17.4,21.6,26.7,0.0,59.0,81.2,0.3
2018-11-25,19.6,21.5,27.2,0.0,56.0,86.4,0.3
2018-11-26,16.2,20.8,27.1,5.2,61.0,85.3,0.8
2018-11-27,17.4,21.2,26.6,0.0,62.0,83.5,0.9
2018-11-28,16.0,20.8,27.6,2.4,45.0,80.9,1.0
2018-11-29,15.0,21.4,28.6,0.0,47.0,77.1,0.4
2018-11-30,16.9,22.4,30.3,0.0,52.0,80.5,0.5
