UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
,2018-10-15,SANTA MARIA MADALENA,,,,-21.95055555,,,RJ,,A630,-42.01027777
,2018-10-16,SANTA MARIA MADALENA,83,,,-21.95055555,,,RJ,,A630,-42.01027777
87.1,2018-10-17,SANTA MARIA MADALENA,68,20.8,,-21.95055555,18.4,25.1,RJ,0.4,A630,-42.01027777
91.5,2018-10-18,SANTA MARIA MADALENA,73,21.7,2.2,-21.95055555,19.8,25.5,RJ,0.2,A630,-42.01027777
87.2,2018-10-19,SANTA MARIA MADALENA,61,22.6,0.2,-21.95055555,20.3,28.4,RJ,0.5,A630,-42.01027777
76.8,2018-10-20,SANTA MARIA MADALENA,51,18.7,15.4,-21.95055555,16.9,22.6,RJ,2.5,A630,-42.01027777
69,2018-10-21,SANTA MARIA MADALENA,49,17.1,0,-21.95055555,13.8,22.2,RJ,1.8,A630,-42.01027777
78.4,2018-10-22,SANTA MARIA MADALENA,57,17.3,0,-21.95055555,11.9,22.7,RJ,0.6,A630,-42.01027777
75,2018-10-23,SANTA MARIA MADALENA,40,20.2,0,-21.95055555,12.5,29.9,RJ,0.7,A630,-42.01027777
81.4,2018-10-24,SANTA MARIA MADALENA,59,21.2,0,-21.95055555,17.4,27.1,RJ,1.8,A630,-42.01027777
91.8,2018-10-25,SANTA MARIA MADALENA,78,19.3,1.6,-21.95055555,18.5,21.6,RJ,0.4,A630,-42.01027777
91.5,2018-10-26,SANTA MARIA MADALENA,79,19.6,9.6,-21.95055555,17.4,22.8,RJ,0.6,A630,-42.01027777
85.8,2018-10-27,SANTA MARIA MADALENA,64,22.3,1,-21.95055555,19,28.6,RJ,0.6,A630,-42.01027777
77.2,2018-10-28,SANTA MARIA MADALENA,53,20.8,1.8,-21.95055555,18.1,25,RJ,1,A630,-42.01027777
81.3,2018-10-29,SANTA MARIA MADALENA,70,16.9,0.2,-21.95055555,15.3,19.1,RJ,1.2,A630,-42.01027777
80.9,2018-10-30,SANTA MARIA MADALENA,61,19,0,-21.95055555,15.7,23.6,RJ,0.5,A630,-42.01027777
82.6,2018-10-31,SANTA MARIA MADALENA,54,21.1,0,-21.95055555,16.2,28.3,RJ,0.4,A630,-42.01027777
82.7,2018-11-01,SANTA MARIA MADALENA,51,23,0,-21.95055555,18.1,31.4,RJ,0.4,A630,-42.01027777
85,2018-11-02,SANTA MARIA MADALENA,65,20.6,3.4,-21.95055555,17.6,24.4,RJ,1.2,A630,-42.01027777
80,2018-11-03,SANTA MARIA MADALENA,52,22,0.2,-21.95055555,17.1,29.5,RJ,0.6,A630,-42.01027777
84.1,2018-11-04,SANTA MARIA MADALENA,53,22.5,0,-21.95055555,19.5,29.3,RJ,1.2,A630,-42.01027777
91.6,2018-11-05,SANTA MARIA MADALENA,85,17.7,15.8,-21.95055555,16.9,19.6,RJ,2.2,A630,-42.01027777
86.5,2018-11-06,SANTA MARIA MADALENA,72,18.7,1.6,-21.95055555,16.2,22.9,RJ,1.3,A630,-42.01027777
83.4,2018-11-07,SANTA MARIA MADALENA,55,21.4,0.6,-21.95055555,17.8,27.2,RJ,0.6,A630,-42.01027777
91.3,2018-11-08,SANTA MARIA MADALENA,75,18.9,10.4,-21.95055555,17.9,21,RJ,0.8,A630,-42.01027777
94.3,2018-11-09,SANTA MARIA MADALENA,87,18,14.6,-21.95055555,16.1,20.1,RJ,0.1,A630,-42.01027777
86.7,2018-11-10,SANTA MARIA MADALENA,62,20.3,7.4,-21.95055555,17.1,25.7,RJ,0.5,A630,-42.01027777
80.3,2018-11-11,SANTA MARIA MADALENA,52,21.7,0.2,-21.95055555,17.8,27.8,RJ,0.6,A630,-42.01027777
81.6,2018-11-12,SANTA MARIA MADALENA,59,21.9,0,-21.95055555,18.1,28,RJ,0.9,A630,-42.01027777
