UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
63.5,2018-01-01,RIO DE JANEIRO - VILA MILITAR,41,28.1,0,-22.86138888,23.1,34.1,RJ,1.8,A621,-43.41138888
71.4,2018-01-02,RIO DE JANEIRO - VILA MILITAR,37,28.3,0,-22.86138888,23.2,36.3,RJ,1.1,A621,-43.41138888
76.5,2018-01-03,RIO DE JANEIRO - VILA MILITAR,44,28,9.2,-22.86138888,23.7,33.8,RJ,1.5,A621,-43.41138888
87,2018-01-04,RIO DE JANEIRO - VILA MILITAR,62,24.7,34.4,-22.86138888,22.8,28.5,RJ,1.5,A621,-43.41138888
86.3,2018-01-05,RIO DE JANEIRO - VILA MILITAR,61,24,0.4,-22.86138888,20.7,29,RJ,1.1,A621,-43.41138888
83,2018-01-06,RIO DE JANEIRO - VILA MILITAR,42,26.5,11.6,-22.86138888,23.5,33.6,RJ,1.1,A621,-43.41138888
93.4,2018-01-07,RIO DE JANEIRO - VILA MILITAR,67,24.2,49,-22.86138888,22.6,27.8,RJ,1.6,A621,-43.41138888
89.5,2018-01-08,RIO DE JANEIRO - VILA MILITAR,65,23.8,71.8,-22.86138888,20.3,28.1,RJ,1.1,A621,-43.41138888
78.4,2018-01-09,RIO DE JANEIRO - VILA MILITAR,47,26.4,9.6,-22.86138888,22.4,31.3,RJ,1.2,A621,-43.41138888
67.2,2018-01-10,RIO DE JANEIRO - VILA MILITAR,40,27.8,0,-22.86138888,23.9,33.2,RJ,1.5,A621,-43.41138888
64,2018-01-11,RIO DE JANEIRO - VILA MILITAR,42,28,0,-22.86138888,24.4,32.8,RJ,1.3,A621,-43.41138888
70.8,2018-01-12,RIO DE JANEIRO - VILA MILITAR,43,27.1,0,-22.86138888,23.5,32.9,RJ,1.6,A621,-43.41138888
74.8,2018-01-13,RIO DE JANEIRO - VILA MILITAR,39,26.6,0,-22.86138888,23.3,33.2,RJ,0.9,A621,-43.41138888
72,2018-01-14,RIO DE JANEIRO - VILA MILITAR,34,27.1,13.2,-22.86138888,22,34.5,RJ,1.1,A621,-43.41138888
58.9,2018-01-15,RIO DE JANEIRO - VILA MILITAR,36,28.1,0.2,-22.86138888,23.8,34.4,RJ,1.7,A621,-43.41138888
55.8,2018-01-16,RIO DE JANEIRO - VILA MILITAR,33,28.8,0.2,-22.86138888,22.2,35.7,RJ,1.6,A621,-43.41138888
62.3,2018-01-17,RIO DE JANEIRO - VILA MILITAR,34,28.9,0,-22.86138888,22.8,35.7,RJ,1.2,A621,-43.41138888
56.7,2018-01-18,RIO DE JANEIRO - VILA MILITAR,19,30.5,0,-22.86138888,23.6,37.7,RJ,1.7,A621,-43.41138888
59.4,2018-01-19,RIO DE JANEIRO - VILA MILITAR,26,30.2,0,-22.86138888,25.5,37.5,RJ,2.2,A621,-43.41138888
77.5,2018-01-20,RIO DE JANEIRO - VILA MILITAR,51,27.3,0,-22.86138888,24.4,32.2,RJ,1.6,A621,-43.41138888
79.4,2018-01-21,RIO DE JANEIRO - VILA MILITAR,51,27.2,24.4,-22.86138888,23.8,32.2,RJ,1.1,A621,-43.41138888
76,2018-01-22,RIO DE JANEIRO - VILA MILITAR,42,27.8,0,-22.86138888,24.4,35.5,RJ,1.7,A621,-43.41138888
67.6,2018-01-23,RIO DE JANEIRO - VILA MILITAR,34,28.6,13,-22.86138888,22.5,36,RJ,1.3,A621,-43.41138888
56.9,2018-01-24,RIO DE JANEIRO - VILA MILITAR,36,30.3,0,-22.86138888,25.8,35.9,RJ,2.5,A621,-43.41138888
61.3,2018-01-25,RIO DE JANEIRO - VILA MILITAR,40,29.4,0,-22.86138888,26.3,34.1,RJ,2.8,A621,-43.41138888
