UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
84.1,2022-01-01,RIO DE JANEIRO - VILA MILITAR,55,25.7,3.8,-22.86138888,22.4,31.4,RJ,0.9,A621,-43.41138888
82.6,2022-01-02,RIO DE JANEIRO - VILA MILITAR,50,26.6,1.2,-22.86138888,23.3,32.6,RJ,0.9,A621,-43.41138888
72.4,2022-01-03,RIO DE JANEIRO - VILA MILITAR,43,28.6,0.4,-22.86138888,24.2,34.6,RJ,1.2,A621,-43.41138888
68.8,2022-01-04,RIO DE JANEIRO - VILA MILITAR,46,29,0,-22.86138888,24.5,33.9,RJ,1.4,A621,-43.41138888
69.9,2022-01-05,RIO DE JANEIRO - VILA MILITAR,47,28.4,1.6,-22.86138888,23.7,34.2,RJ,1.7,A621,-43.41138888
83.8,2022-01-06,RIO DE JANEIRO - VILA MILITAR,52,26.7,7,-22.86138888,24.3,33.3,RJ,1.3,A621,-43.41138888
93,2022-01-07,RIO DE JANEIRO - VILA MILITAR,84,24.2,26.2,-22.86138888,23.4,25.7,RJ,1.4,A621,-43.41138888
91,2022-01-08,RIO DE JANEIRO - VILA MILITAR,78,23.4,11,-22.86138888,23,25.9,RJ,0.7,A621,-43.41138888
92.7,2022-01-09,RIO DE JANEIRO - VILA MILITAR,76,22.1,7,-22.86138888,21.4,24.9,RJ,0.2,A621,-43.41138888
88.7,2022-01-10,RIO DE JANEIRO - VILA MILITAR,71,22.8,6.8,-22.86138888,20.1,28,RJ,0.5,A621,-43.41138888
89.7,2022-01-11,RIO DE JANEIRO - VILA MILITAR,65,24.3,5.4,-22.86138888,21.8,30.5,RJ,0.4,A621,-43.41138888
83.2,2022-01-12,RIO DE JANEIRO - VILA MILITAR,65,25.9,6.6,-22.86138888,22.5,30.1,RJ,1.2,A621,-43.41138888
81.5,2022-01-13,RIO DE JANEIRO - VILA MILITAR,62,26.5,0,-22.86138888,22.9,31.2,RJ,0.9,A621,-43.41138888
78.2,2022-01-14,RIO DE JANEIRO - VILA MILITAR,56,27.9,0,-22.86138888,23.3,33.4,RJ,1.2,A621,-43.41138888
81.9,2022-01-15,RIO DE JANEIRO - VILA MILITAR,65,27.1,0,-22.86138888,24.1,31,RJ,0.7,A621,-43.41138888
76.3,2022-01-16,RIO DE JANEIRO - VILA MILITAR,50,27.3,0,-22.86138888,22.8,33.7,RJ,1.1,A621,-43.41138888
74.2,2022-01-17,RIO DE JANEIRO - VILA MILITAR,44,28.2,0.8,-22.86138888,21.9,36.2,RJ,1.1,A621,-43.41138888
66.2,2022-01-18,RIO DE JANEIRO - VILA MILITAR,35,30.7,0,-22.86138888,24.4,38.2,RJ,1.4,A621,-43.41138888
74.3,2022-01-19,RIO DE JANEIRO - VILA MILITAR,52,29.1,0,-22.86138888,24.6,36,RJ,1.7,A621,-43.41138888
73.7,2022-01-20,RIO DE JANEIRO - VILA MILITAR,54,28.1,0,-22.86138888,23.5,34.4,RJ,1.2,A621,-43.41138888
75.5,2022-01-21,RIO DE JANEIRO - VILA MILITAR,58,27.7,0,-22.86138888,23.5,32,RJ,1.5,A621,-43.41138888
67.1,2022-01-22,RIO DE JANEIRO - VILA MILITAR,47,28.4,0,-22.86138888,22.4,33.4,RJ,1.3,A621,-43.41138888
68.6,2022-01-23,RIO DE JANEIRO - VILA MILITAR,43,28.4,0,-22.86138888,22,35,RJ,1.2,A621,-43.41138888
65.6,2022-01-24,RIO DE JANEIRO - VILA MILITAR,39,29,0,-22.86138888,21.9,36.1,RJ,1.2,A621,-43.41138888
66.3,2022-01-25,RIO DE JANEIRO - VILA MILITAR,39,28.8,0,-22.86138888,22.2,35.5,RJ,1.4,A621,-43.41138888
65.1,2022-01-26,RIO DE JANEIRO - VILA MILITAR,33,29.1,0,-22.86138888,22.3,37.4,RJ,1.2,A621,-43.41138888
53,2022-01-27,RIO DE JANEIRO - VILA MILITAR,32,31.3,0,-22.86138888,23.8,38.1,RJ,2,A621,-43.41138888
71.9,2022-01-28,RIO DE JANEIRO - VILA MILITAR,50,28,0,-22.86138888,24.3,32.8,RJ,1.8,A621,-43.41138888
84,2022-01-29,RIO DE JANEIRO - VILA MILITAR,57,26.1,19,-22.86138888,23.3,31.9,RJ,1,A621,-43.41138888
85.2,2022-01-30,RIO DE JANEIRO - VILA MILITAR,58,25.5,19.4,-22.86138888,22.3,30.4,RJ,0.9,A621,-43.41138888
83.8,2022-01-31,RIO DE JANEIRO - VILA MILITAR,60,25.9,5.8,-22.86138888,22.8,30.8,RJ,1.1,A621,-43.41138888
77.5,2022-02-01,RIO DE JANEIRO - VILA MILITAR,48,27.4,0,-22.86138888,23.9,33.2,RJ,1.6,A621,-43.41138888
86.7,2022-02-02,RIO DE JANEIRO - VILA MILITAR,62,25.6,8.6,-22.86138888,23.3,30.8,RJ,0.9,A621,-43.41138888
