UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
72.2,2020-01-01,SILVA JARDIM,35,27.2,0,-22.64583333,20.3,35.6,RJ,1.4,A659,-42.41555555
81.5,2020-01-02,SILVA JARDIM,39,25.6,0,-22.64583333,21.7,35.4,RJ,1.2,A659,-42.41555555
84.3,2020-01-03,SILVA JARDIM,52,25.1,55.6,-22.64583333,21.6,31.9,RJ,1.1,A659,-42.41555555
85.8,2020-01-04,SILVA JARDIM,56,24.8,1.4,-22.64583333,22,30.6,RJ,0.9,A659,-42.41555555
86.8,2020-01-05,SILVA JARDIM,63,24.9,42.8,-22.64583333,22.3,30.5,RJ,1,A659,-42.41555555
82.3,2020-01-06,SILVA JARDIM,49,26.4,4.4,-22.64583333,22.8,35.5,RJ,1.4,A659,-42.41555555
78.4,2020-01-07,SILVA JARDIM,43,27.9,14.2,-22.64583333,22.4,37.3,RJ,1.2,A659,-42.41555555
82.5,2020-01-08,SILVA JARDIM,56,26.6,21.8,-22.64583333,23.6,34.5,RJ,1.1,A659,-42.41555555
80.4,2020-01-09,SILVA JARDIM,49,27.2,6.2,-22.64583333,22.4,35.2,RJ,1.2,A659,-42.41555555
77,2020-01-10,SILVA JARDIM,52,28.7,0,-22.64583333,23.7,35.1,RJ,1.2,A659,-42.41555555
73.4,2020-01-11,SILVA JARDIM,42,29.5,0,-22.64583333,24.2,37.9,RJ,1.2,A659,-42.41555555
83.2,2020-01-12,SILVA JARDIM,57,27.5,0,-22.64583333,24.1,33.6,RJ,1.3,A659,-42.41555555
92.3,2020-01-13,SILVA JARDIM,82,24.4,118.6,-22.64583333,23.2,26.4,RJ,1,A659,-42.41555555
78.9,2020-01-14,SILVA JARDIM,46,24.7,9.4,-22.64583333,22.6,30.5,RJ,1,A659,-42.41555555
76.3,2020-01-15,SILVA JARDIM,50,25,0,-22.64583333,19.5,31.1,RJ,1.7,A659,-42.41555555
73.5,2020-01-16,SILVA JARDIM,40,28.6,0,-22.64583333,21.1,37.5,RJ,0.9,A659,-42.41555555
89.3,2020-01-17,SILVA JARDIM,68,24.5,8.8,-22.64583333,25,28.7,RJ,1.7,A659,-42.41555555
84.9,2020-01-18,SILVA JARDIM,65,22.6,12.8,-22.64583333,20.6,27,RJ,0.8,A659,-42.41555555
