UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
94.7,2022-01-01,SILVA JARDIM,70,24.9,15.4,-22.64583333,23.1,28.4,RJ,1,A659,-42.41555555
86.3,2022-01-02,SILVA JARDIM,51,26.4,7.6,-22.64583333,23,32.9,RJ,1,A659,-42.41555555
78.9,2022-01-03,SILVA JARDIM,48,27.6,1.8,-22.64583333,23.3,33.8,RJ,1.2,A659,-42.41555555
74,2022-01-04,SILVA JARDIM,46,27.6,0.2,-22.64583333,23.2,33.5,RJ,1.7,A659,-42.41555555
77,2022-01-05,SILVA JARDIM,44,27.2,0,-22.64583333,22.8,31.8,RJ,1,A659,-42.41555555
87.6,2022-01-06,SILVA JARDIM,61,26.4,5.4,-22.64583333,23.5,32.3,RJ,0.9,A659,-42.41555555
97.7,2022-01-07,SILVA JARDIM,74,24.3,15,-22.64583333,23.5,28.3,RJ,1.1,A659,-42.41555555
99.1,2022-01-08,SILVA JARDIM,95,22.8,78.4,-22.64583333,22,24.1,RJ,1,A659,-42.41555555
96.7,2022-01-09,SILVA JARDIM,76,22.1,35.4,-22.64583333,21.1,25.4,RJ,0.7,A659,-42.41555555
92.8,2022-01-10,SILVA JARDIM,65,23.4,25.4,-22.64583333,20.8,30.7,RJ,1,A659,-42.41555555
92.9,2022-01-11,SILVA JARDIM,64,24.7,31,-22.64583333,22.1,31.3,RJ,0.9,A659,-42.41555555
92.4,2022-01-12,SILVA JARDIM,64,25.2,21.6,-22.64583333,21.9,31.4,RJ,1.1,A659,-42.41555555
90.1,2022-01-13,SILVA JARDIM,70,25.9,2.2,-22.64583333,23.1,29.8,RJ,0.9,A659,-42.41555555
84.2,2022-01-14,SILVA JARDIM,54,26.8,0,-22.64583333,22.5,33.4,RJ,1.2,A659,-42.41555555
84.4,2022-01-15,SILVA JARDIM,60,25.9,0,-22.64583333,22.1,31.4,RJ,1,A659,-42.41555555
83.2,2022-01-16,SILVA JARDIM,56,26,0,-22.64583333,21.9,32.3,RJ,1.6,A659,-42.41555555
77,2022-01-17,SILVA JARDIM,47,27.5,0,-22.64583333,21.6,35.2,RJ,1.5,A659,-42.41555555
75.7,2022-01-18,SILVA JARDIM,50,27.6,0,-22.64583333,21.2,35.1,RJ,1.5,A659,-42.41555555
81.7,2022-01-19,SILVA JARDIM,45,26.3,2.6,-22.64583333,22.8,34.2,RJ,1.5,A659,-42.41555555
80.4,2022-01-20,SILVA JARDIM,51,26.2,0,-22.64583333,20.7,34,RJ,1.5,A659,-42.41555555
79.6,2022-01-21,SILVA JARDIM,49,26.5,0,-22.64583333,21.8,33.3,RJ,1.3,A659,-42.41555555
76.5,2022-01-22,SILVA JARDIM,44,26.3,0,-22.64583333,20.1,33.6,RJ,1.9,A659,-42.41555555
72.8,2022-01-23,SILVA JARDIM,41,26.7,0,-22.64583333,20.5,33.8,RJ,1.8,A659,-42.41555555
74,2022-01-24,SILVA JARDIM,45,26.4,0,-22.64583333,19.9,34.3,RJ,2,A659,-42.41555555
72.1,2022-01-25,SILVA JARDIM,39,26.5,0,-22.64583333,19.7,34,RJ,2.3,A659,-42.41555555
