UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
88.5,2019-01-01,TERESÓPOLIS-PARQUE NACIONAL,53,20.7,1.2,-22.4486111,18.1,27.9,RJ,0.6,A618,-42.98694444
87.5,2019-01-02,TERESÓPOLIS-PARQUE NACIONAL,53,22.1,19.8,-22.4486111,18.2,28.5,RJ,0.2,A618,-42.98694444
85,2019-01-03,TERESÓPOLIS-PARQUE NACIONAL,50,23.1,61.8,-22.4486111,19.5,30.1,RJ,1.1,A618,-42.98694444
94.4,2019-01-04,TERESÓPOLIS-PARQUE NACIONAL,64,21.7,36.2,-22.4486111,18.7,28.1,RJ,0.2,A618,-42.98694444
87.2,2019-01-05,TERESÓPOLIS-PARQUE NACIONAL,56,21.2,6.2,-22.4486111,18.1,27.4,RJ,0.8,A618,-42.98694444
79,2019-01-06,TERESÓPOLIS-PARQUE NACIONAL,35,22.5,30.2,-22.4486111,17.6,29.1,RJ,0.5,A618,-42.98694444
72,2019-01-07,TERESÓPOLIS-PARQUE NACIONAL,42,23.4,0,-22.4486111,17.8,30.3,RJ,0.5,A618,-42.98694444
76,2019-01-08,TERESÓPOLIS-PARQUE NACIONAL,45,23.9,0,-22.4486111,17.9,30.4,RJ,0.2,A618,-42.98694444
73.1,2019-01-09,TERESÓPOLIS-PARQUE NACIONAL,34,22.6,0,-22.4486111,17.6,28.5,RJ,0.4,A618,-42.98694444
69.1,2019-01-10,TERESÓPOLIS-PARQUE NACIONAL,43,21.9,0,-22.4486111,18,27.5,RJ,1.1,A618,-42.98694444
78.8,2019-01-11,TERESÓPOLIS-PARQUE NACIONAL,51,22,0,-22.4486111,16.7,28.3,RJ,0.5,A618,-42.98694444
87.9,2019-01-12,TERESÓPOLIS-PARQUE NACIONAL,63,21,0.6,-22.4486111,15.6,26.1,RJ,0.4,A618,-42.98694444
78,2019-01-13,TERESÓPOLIS-PARQUE NACIONAL,42,21.4,0.6,-22.4486111,16.8,27.3,RJ,0.4,A618,-42.98694444
78.2,2019-01-14,TERESÓPOLIS-PARQUE NACIONAL,51,21.9,0,-22.4486111,18,28,RJ,0.6,A618,-42.98694444
74.7,2019-01-15,TERESÓPOLIS-PARQUE NACIONAL,41,23.1,0,-22.4486111,18.8,30.9,RJ,0.4,A618,-42.98694444
85,2019-01-16,TERESÓPOLIS-PARQUE NACIONAL,49,22.5,0.4,-22.4486111,20,30.2,RJ,0.4,A618,-42.98694444
81.5,2019-01-17,TERESÓPOLIS-PARQUE NACIONAL,40,22.5,12.4,-22.4486111,16.8,30.3,RJ,0.1,A618,-42.98694444
88,2019-01-18,TERESÓPOLIS-PARQUE NACIONAL,65,22.6,0.2,-22.4486111,18.7,27.9,RJ,0.2,A618,-42.98694444
82.5,2019-01-19,TERESÓPOLIS-PARQUE NACIONAL,47,23.8,0,-22.4486111,19.9,30.1,RJ,0.4,A618,-42.98694444
87.2,2019-01-20,TERESÓPOLIS-PARQUE NACIONAL,49,22.6,6.8,-22.4486111,19.8,30.1,RJ,0.3,A618,-42.98694444
84.1,2019-01-21,TERESÓPOLIS-PARQUE NACIONAL,54,22.7,6.6,-22.4486111,18.7,29.4,RJ,0.3,A618,-42.98694444
91.3,2019-01-22,TERESÓPOLIS-PARQUE NACIONAL,59,22.3,33.4,-22.4486111,18.6,28.5,RJ,0.2,A618,-42.98694444
88.9,2019-01-23,TERESÓPOLIS-PARQUE NACIONAL,70,22.1,0.2,-22.4486111,18.2,26.6,RJ,0.2,A618,-42.98694444
79.7,2019-01-24,TERESÓPOLIS-PARQUE NACIONAL,42,22.7,0,-22.4486111,17.7,30.1,RJ,0.2,A618,-42.98694444
90.9,2019-01-25,TERESÓPOLIS-PARQUE NACIONAL,72,20.2,0,-22.4486111,18.7,26.1,RJ,0,A618,-42.98694444
81.7,2019-01-26,TERESÓPOLIS-PARQUE NACIONAL,49,20.6,13.4,-22.4486111,15.5,27.4,RJ,0.5,A618,-42.98694444
65.9,2019-01-27,TERESÓPOLIS-PARQUE NACIONAL,38,23.3,0,-22.4486111,18.5,29.8,RJ,0.9,A618,-42.98694444
74.5,2019-01-28,TERESÓPOLIS-PARQUE NACIONAL,47,23.3,0,-22.4486111,17.6,29.3,RJ,0.3,A618,-42.98694444
76.5,2019-01-29,TERESÓPOLIS-PARQUE NACIONAL,49,22.8,0,-22.4486111,18.1,29.9,RJ,0.4,A618,-42.98694444
74.8,2019-01-30,TERESÓPOLIS-PARQUE NACIONAL,49,22.9,0,-22.4486111,17.8,30.2,RJ,0.3,A618,-42.98694444
76.1,2019-01-31,TERESÓPOLIS-PARQUE NACIONAL,46,22.6,0,-22.4486111,16.7,30.1,RJ,0.3,A618,-42.98694444
80.6,2019-02-01,TERESÓPOLIS-PARQUE NACIONAL,43,22.9,4.6,-22.4486111,17.8,29.5,RJ,0.2,A618,-42.98694444
75,2019-02-02,TERESÓPOLIS-PARQUE NACIONAL,44,24,0,-22.4486111,18.5,30.8,RJ,0.3,A618,-42.98694444
85.7,2019-02-03,TERESÓPOLIS-PARQUE NACIONAL,67,22.5,0,-22.4486111,19.1,26.8,RJ,0.5,A618,-42.98694444
90,2019-02-04,TERESÓPOLIS-PARQUE NACIONAL,58,20,0,-22.4486111,18.2,25.2,RJ,0.2,A618,-42.98694444
96.7,2019-02-05,TERESÓPOLIS-PARQUE NACIONAL,93,17.4,46.2,-22.4486111,17,18.9,RJ,0.1,A618,-42.98694444
92.5,2019-02-06,TERESÓPOLIS-PARQUE NACIONAL,80,17.9,8.6,-22.4486111,15.3,20.7,RJ,0.1,A618,-42.98694444
94.5,2019-02-07,TERESÓPOLIS-PARQUE NACIONAL,72,18.4,26.6,-22.4486111,16.5,24.2,RJ,0.2,A618,-42.98694444
92.1,2019-02-08,TERESÓPOLIS-PARQUE NACIONAL,69,19.4,2.6,-22.4486111,15.7,24.7,RJ,0.5,A618,-42.98694444
87.8,2019-02-09,TERESÓPOLIS-PARQUE NACIONAL,61,20.4,0,-22.4486111,16.6,26.7,RJ,0.4,A618,-42.98694444
77.4,2019-02-10,TERESÓPOLIS-PARQUE NACIONAL,48,22.4,11.2,-22.4486111,17.6,29,RJ,0.8,A618,-42.98694444
70.5,2019-02-11,TERESÓPOLIS-PARQUE NACIONAL,54,24.1,0,-22.4486111,20.9,28.6,RJ,1.3,A618,-42.98694444
75.2,2019-02-12,TERESÓPOLIS-PARQUE NACIONAL,47,23.3,0,-22.4486111,20.1,30.4,RJ,0.4,A618,-42.98694444
97.8,2019-02-13,TERESÓPOLIS-PARQUE NACIONAL,97,18.3,76.2,-22.4486111,18.7,20.3,RJ,0.6,A618,-42.98694444
89.9,2019-02-14,TERESÓPOLIS-PARQUE NACIONAL,65,17.6,77.4,-22.4486111,15.4,21,RJ,0.4,A618,-42.98694444
92.1,2019-02-15,TERESÓPOLIS-PARQUE NACIONAL,80,18.8,1.4,-22.4486111,15.7,21.4,RJ,0.6,A618,-42.98694444
90.3,2019-02-16,TERESÓPOLIS-PARQUE NACIONAL,76,20.4,7.2,-22.4486111,18.6,22.4,RJ,1.5,A618,-42.98694444
87.9,2019-02-17,TERESÓPOLIS-PARQUE NACIONAL,60,20.9,3.6,-22.4486111,18.9,26.7,RJ,0.9,A618,-42.98694444
87.3,2019-02-18,TERESÓPOLIS-PARQUE NACIONAL,60,21.5,13.4,-22.4486111,19,27.1,RJ,1,A618,-42.98694444
88.6,2019-02-19,TERESÓPOLIS-PARQUE NACIONAL,54,21.8,51.2,-22.4486111,18.8,28.3,RJ,0.6,A618,-42.98694444
90.2,2019-02-20,TERESÓPOLIS-PARQUE NACIONAL,51,21.3,5.6,-22.4486111,17.9,29,RJ,0.5,A618,-42.98694444
93.3,2019-02-21,TERESÓPOLIS-PARQUE NACIONAL,73,19.6,7.4,-22.4486111,18.3,22.6,RJ,0.2,A618,-42.98694444
84.9,2019-02-22,TERESÓPOLIS-PARQUE NACIONAL,58,22.1,4.2,-22.4486111,17.3,29,RJ,0.3,A618,-42.98694444
80.8,2019-02-23,TERESÓPOLIS-PARQUE NACIONAL,45,24.2,0,-22.4486111,20.5,31.4,RJ,0.6,A618,-42.98694444
78.9,2019-02-24,TERESÓPOLIS-PARQUE NACIONAL,40,24.1,0,-22.4486111,20.8,32.3,RJ,0.4,A618,-42.98694444
78.4,2019-02-25,TERESÓPOLIS-PARQUE NACIONAL,43,24,0.2,-22.4486111,19.7,32,RJ,0.3,A618,-42.98694444
92.8,2019-02-26,TERESÓPOLIS-PARQUE NACIONAL,62,20.5,35,-22.4486111,17.2,28.2,RJ,0.4,A618,-42.98694444
81.9,2019-02-27,TERESÓPOLIS-PARQUE NACIONAL,47,21.9,2.6,-22.4486111,18.3,28.8,RJ,0.8,A618,-42.98694444
81.8,2019-02-28,TERESÓPOLIS-PARQUE NACIONAL,56,22.1,11.2,-22.4486111,19.8,26.7,RJ,1.1,A618,-42.98694444
78.5,2019-03-01,TERESÓPOLIS-PARQUE NACIONAL,54,22.9,0,-22.4486111,20.3,26.8,RJ,1,A618,-42.98694444
87.9,2019-03-02,TERESÓPOLIS-PARQUE NACIONAL,73,20.3,17.2,-22.4486111,18.2,23.2,RJ,0.6,A618,-42.98694444
