DT_MEDICAO,TEMP_MIN,TEMP_MED,TEMP_MAX,CHUVA,UMID_MIN,UMID_MED,VEL_VENTO_MED
2018-07-12,,,,,,,
2018-07-13,,,,,,,
2018-07-14,,,,,59.0,72.4,
2018-07-15,17.5,21.8,30.7,0.0,38.0,78.0,0.7
2018-07-16,17.0,23.5,32.5,0.0,29.0,62.2,0.7
2018-07-17,16.6,21.1,26.5,0.0,52.0,75.5,1.2
2018-07-18,19.6,23.6,30.4,0.0,38.0,72.6,1.0
2018-07-19,17.8,23.7,31.2,0.0,33.0,65.2,0.8
2018-07-20,18.1,23.9,30.3,0.0,41.0,67.3,1.0
2018-07-21,17.6,23.9,32.2,0.0,40.0,72.0,1.1
2018-07-22,21.5,23.3,25.8,6.4,,,2.1
2018-07-23,19.2,22.4,27.3,0.0,59.0,,1.1
2018-07-24,19.0,22.0,26.2,0.0,65.0,84.3,1.7
2018-07-25,19.5,22.6,26.6,0.6,,,1.3
2018-07-26,18.4,22.6,27.1,0.0,,,1.3
2018-07-27,17.9,22.7,28.6,0.0,61.0,,1.3
2018-07-28,17.5,23.4,30.6,0.0,36.0,67.3,0.9
2018-07-29,18.4,24.7,32.3,0.0,30.0,59.5,0.7
2018-07-30,19.0,23.2,28.5,0.0,44.0,67.6,1.7
2018-07-31,20.7,21.7,23.3,0.0,72.0,81.7,1.5
2018-08-01,19.9,21.1,23.7,2.0,61.0,77.3,1.4
2018-08-02,18.2,19.5,22.0,11.6,75.0,86.0,1.1
2018-08-03,17.2,19.7,22.5,1.2,65.0,81.2,0.8
2018-08-04,19.3,21.3,25.7,23.0,65.0,84.5,1.6
2018-08-05,20.1,22.2,26.8,0.2,53.0,74.3,1.6
2018-08-06,20.5,20.2,22.4,0.0,69.0,84.1,1.4
2018-08-07,17.7,18.7,20.3,23.0,82.0,90.4,0.9
2018-08-08,16.7,20.5,25.1,0.2,69.0,84.9,1.2
2018-08-09,17.6,22.5,30.4,0.0,46.0,79.8,0.9
2018-08-10,19.2,21.8,26.6,0.0,62.0,70.5,2.7
2018-08-11,16.5,20.3,25.0,0.0,40.0,67.2,2.0
2018-08-12,17.6,20.2,24.5,0.0,48.0,66.5,2.0
2018-08-13,18.5,20.5,24.0,0.0,57.0,70.8,1.8
2018-08-14,17.7,20.9,25.7,0.0,57.0,73.9,1.2
2018-08-15,16.3,20.8,24.8,0.0,56.0,74.6,1.9
2018-08-16,19.3,20.9,22.4,3.4,72.0,82.2,1.0
2018-08-17,19.2,20.4,22.5,0.8,73.0,85.5,1.2
2018-08-18,18.4,20.8,24.3,0.0,61.0,75.3,1.3
2018-08-19,16.1,21.5,27.7,0.0,49.0,75.2,1.2
2018-08-20,17.0,22.8,30.7,0.0,39.0,61.6,1.1
2018-08-21,18.2,22.8,29.8,0.0,44.0,75.0,1.3
2018-08-22,20.8,22.8,27.1,0.0,62.0,79.4,1.6
2018-08-23,20.7,24.9,32.3,0.0,,,1.1
2018-08-24,20.4,25.9,33.9,0.0,,,0.9
2018-08-25,22.0,24.4,28.3,0.0,,,1.4
2018-08-26,20.1,20.3,23.9,3.6,,,2.0
2018-08-27,16.7,18.4,20.4,4.6,77.0,87.0,1.0
2018-08-28,17.4,20.4,24.2,0.2,58.0,74.4,1.4
2018-08-29,16.2,21.5,27.4,0.0,51.0,70.7,1.6
2018-08-30,17.4,23.6,31.4,0.0,37.0,68.1,1.2
2018-08-31,18.8,25.9,34.3,0.0,27.0,58.9,0.8
2018-09-01,20.4,25.2,31.6,0.0,34.0,61.0,1.4
2018-09-02,21.1,25.0,33.5,0.0,37.0,70.3,1.6
2018-09-03,21.4,23.9,28.3,0.0,58.0,75.5,2.2
2018-09-04,20.5,22.1,25.9,11.8,40.0,73.5,2.0
2018-09-05,18.3,20.9,24.8,0.4,45.0,65.6,2.4
2018-09-06,17.5,20.1,23.0,2.2,58.0,74.3,1.2
2018-09-07,16.5,21.0,25.9,0.0,47.0,63.9,1.4
2018-09-08,16.2,21.1,26.7,0.0,44.0,62.3,1.5
2018-09-09,16.4,21.5,26.8,0.0,50.0,65.6,1.6
2018-09-10,20.3,22.2,26.0,0.0,46.0,64.9,1.4
2018-09-11,19.9,21.5,24.3,0.0,56.0,66.7,1.0
2018-09-12,18.5,21.4,25.9,0.0,48.0,67.0,1.4
2018-09-13,17.8,22.1,27.6,0.0,47.0,65.6,1.9
2018-09-14,18.9,22.9,28.0,0.0,47.0,67.0,1.4
2018-09-15,20.1,22.4,26.6,13.0,63.0,82.5,1.6
2018-09-16,20.1,22.3,25.5,0.0,60.0,74.1,1.9
2018-09-17,18.9,20.9,23.9,0.2,64.0,82.2,1.0
2018-09-18,20.5,24.2,32.5,2.2,45.0,79.9,1.1
2018-09-19,21.6,26.9,33.5,5.0,35.0,68.4,1.2
2018-09-20,22.7,25.8,29.4,0.0,54.0,71.1,0.9
2018-09-21,22.9,24.2,28.0,0.6,68.0,84.3,1.6
2018-09-22,20.1,23.7,28.7,0.2,55.0,79.1,1.4
2018-09-23,21.6,25.2,31.0,0.0,50.0,62.7,1.8
2018-09-24,21.8,25.5,33.8,0.0,43.0,76.7,1.9
2018-09-25,23.5,25.6,29.8,0.0,55.0,71.0,1.7
2018-09-26,23.1,27.2,33.8,0.0,47.0,70.7,1.3
2018-09-27,23.2,26.6,35.0,0.0,37.0,73.0,2.0
2018-09-28,22.1,24.1,28.2,4.6,65.0,84.8,1.6
2018-09-29,22.2,24.4,27.8,14.0,64.0,82.4,1.2
2018-09-30,22.1,26.4,33.2,0.4,51.0,71.8,1.6
2018-10-01,23.6,26.1,30.5,0.0,54.0,73.9,1.0
2018-10-02,23.5,28.1,35.1,0.2,36.0,68.5,1.4
2018-10-03,23.0,27.9,36.0,0.0,40.0,68.6,1.3
2018-10-04,25.3,26.0,27.0,0.0,68.0,74.9,2.1
2018-10-05,21.2,22.5,25.6,3.8,64.0,78.8,1.9
2018-10-06,20.1,20.9,22.9,0.4,61.0,77.7,0.9
2018-10-07,18.3,21.8,27.2,8.8,63.0,79.0,1.8
2018-10-08,21.9,24.2,29.2,0.0,56.0,78.0,1.3
2018-10-09,22.6,24.4,27.8,2.0,70.0,85.0,0.9
2018-10-10,21.6,26.1,35.0,0.6,39.0,77.6,1.1
2018-10-11,22.8,23.7,25.0,48.4,82.0,90.0,1.0
2018-10-12,22.5,24.5,28.3,5.6,71.0,87.1,1.0
2018-10-13,22.1,28.0,36.8,0.6,41.0,73.5,0.9
2018-10-14,24.0,23.8,26.9,6.8,76.0,83.7,2.1
2018-10-15,21.5,22.2,24.5,0.4,74.0,82.3,1.1
2018-10-16,20.4,22.6,25.8,0.2,68.0,77.6,1.9
2018-10-17,21.9,24.9,30.7,0.0,59.0,77.3,1.5
2018-10-18,22.9,25.8,31.2,0.4,63.0,79.4,1.1
2018-10-19,23.8,25.0,27.6,0.0,64.0,79.5,2.2
2018-10-20,21.0,22.8,25.4,2.4,45.0,62.9,3.2
2018-10-21,17.7,20.7,25.2,0.2,49.0,66.3,1.5
2018-10-22,19.5,23.2,28.5,0.2,47.0,62.1,1.6
2018-10-23,19.1,24.7,32.2,0.0,36.0,64.3,1.5
2018-10-24,22.9,24.4,27.5,0.0,64.0,76.8,1.5
2018-10-25,21.7,22.8,24.7,7.6,77.0,88.4,1.0
2018-10-26,21.0,23.2,26.6,1.6,70.0,84.0,1.2
2018-10-27,21.7,26.3,34.6,0.6,47.0,73.0,1.7
2018-10-28,22.8,23.7,27.2,0.6,50.0,64.5,3.1
2018-10-29,18.9,20.9,22.6,1.0,62.0,76.0,1.0
2018-10-30,18.6,23.7,29.8,0.0,51.0,68.5,1.6
2018-10-31,20.9,26.9,34.5,0.0,35.0,67.2,1.3
2018-11-01,24.7,26.9,31.9,0.0,48.0,68.9,1.9
2018-11-02,23.5,24.7,27.7,0.0,62.0,74.8,1.4
2018-11-03,22.3,28.2,36.9,0.0,37.0,64.8,1.5
2018-11-04,23.0,25.1,30.6,6.0,60.0,78.1,2.9
2018-11-05,20.1,22.0,23.2,4.4,65.0,76.2,1.2
2018-11-06,19.7,22.9,26.8,0.2,62.0,74.7,1.5
2018-11-07,21.8,24.6,29.9,0.0,53.0,77.5,1.6
2018-11-08,20.5,21.8,23.1,67.0,85.0,91.0,1.0
2018-11-09,20.5,21.8,24.6,12.6,71.0,84.7,1.1
2018-11-10,20.6,24.1,29.7,2.6,60.0,78.3,1.5
2018-11-11,22.3,26.7,32.4,0.0,47.0,71.1,1.5
2018-11-12,23.4,27.0,33.0,0.0,,,1.6
2018-11-13,23.5,27.9,34.5,0.0,,,1.8
2018-11-14,23.3,29.8,37.4,0.0,,,1.3
2018-11-15,25.9,29.4,36.6,0.0,,,1.9
2018-11-16,23.7,25.0,26.9,2.0,,,1.7
2018-11-17,21.5,24.5,29.2,0.2,,,1.6
2018-11-18,21.9,28.8,36.4,0.0,,,1.5
2018-11-19,23.4,24.3,31.8,0.8,,,1.9
2018-11-20,18.4,19.6,20.9,45.4,77.0,88.9,1.0
2018-11-21,18.9,21.2,24.2,4.4,74.0,84.8,0.9
2018-11-22,20.3,25.4,32.9,0.2,44.0,76.6,1.4
2018-11-23,23.4,28.8,35.0,0.0,38.0,56.5,1.4
2018-11-24,24.0,28.2,31.8,0.0,43.0,59.9,1.3
2018-11-25,25.4,28.4,33.5,0.0,38.0,58.7,1.7
2018-11-26,22.9,23.9,27.1,2.0,73.0,82.3,1.9
2018-11-27,21.3,23.3,27.4,3.2,65.0,81.5,1.6
2018-11-28,22.2,24.9,29.2,3.8,60.0,78.4,1.4
