UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
82.7,2021-01-01,RIO DE JANEIRO-MARAMBAIA,73,25,5.2,-23.05027777,22.6,27.8,RJ,1.8,A602,-43.59555555
87.7,2021-01-02,RIO DE JANEIRO-MARAMBAIA,80,23.6,0.4,-23.05027777,22.5,26.1,RJ,3.4,A602,-43.59555555
84.6,2021-01-03,RIO DE JANEIRO-MARAMBAIA,73,23.4,16.2,-23.05027777,20.3,26.6,RJ,3.3,A602,-43.59555555
81.3,2021-01-04,RIO DE JANEIRO-MARAMBAIA,64,24.6,0.2,-23.05027777,22.1,28.5,RJ,3.1,A602,-43.59555555
77.3,2021-01-05,RIO DE JANEIRO-MARAMBAIA,62,25.8,0,-23.05027777,22.1,30.8,RJ,3,A602,-43.59555555
75.3,2021-01-06,RIO DE JANEIRO-MARAMBAIA,53,27.1,0,-23.05027777,23.6,33.2,RJ,3.4,A602,-43.59555555
64.8,2021-01-07,RIO DE JANEIRO-MARAMBAIA,43,28.6,0,-23.05027777,25.1,34.7,RJ,3.7,A602,-43.59555555
72,2021-01-08,RIO DE JANEIRO-MARAMBAIA,47,27.9,0,-23.05027777,25.8,32,RJ,3.3,A602,-43.59555555
83.1,2021-01-09,RIO DE JANEIRO-MARAMBAIA,71,26.9,0.2,-23.05027777,24.1,29.6,RJ,2.9,A602,-43.59555555
82,2021-01-10,RIO DE JANEIRO-MARAMBAIA,68,27.2,20,-23.05027777,24.4,30.7,RJ,3,A602,-43.59555555
77.1,2021-01-11,RIO DE JANEIRO-MARAMBAIA,62,27.4,0,-23.05027777,25.3,31.8,RJ,2.8,A602,-43.59555555
73,2021-01-12,RIO DE JANEIRO-MARAMBAIA,45,27.4,0,-23.05027777,23.5,35.6,RJ,3.2,A602,-43.59555555
75.5,2021-01-13,RIO DE JANEIRO-MARAMBAIA,56,26.4,0.2,-23.05027777,23.6,30.5,RJ,2.9,A602,-43.59555555
74,2021-01-14,RIO DE JANEIRO-MARAMBAIA,53,25.9,0,-23.05027777,23,31.1,RJ,3.5,A602,-43.59555555
76.8,2021-01-15,RIO DE JANEIRO-MARAMBAIA,53,25,0,-23.05027777,22.3,31.1,RJ,3.6,A602,-43.59555555
68,2021-01-16,RIO DE JANEIRO-MARAMBAIA,38,26.8,0,-23.05027777,20.9,34.8,RJ,2.8,A602,-43.59555555
56.8,2021-01-17,RIO DE JANEIRO-MARAMBAIA,32,28.9,0,-23.05027777,22,36.9,RJ,3.5,A602,-43.59555555
49.3,2021-01-18,RIO DE JANEIRO-MARAMBAIA,31,29.4,0,-23.05027777,23.3,37.1,RJ,4.1,A602,-43.59555555
80,2021-01-19,RIO DE JANEIRO-MARAMBAIA,46,24.7,0,-23.05027777,20.8,29.3,RJ,2.3,A602,-43.59555555
78.8,2021-01-20,RIO DE JANEIRO-MARAMBAIA,49,25.8,0,-23.05027777,22.5,31.3,RJ,3.3,A602,-43.59555555
76,2021-01-21,RIO DE JANEIRO-MARAMBAIA,51,25.5,0,-23.05027777,21.7,30.7,RJ,4.3,A602,-43.59555555
77.7,2021-01-22,RIO DE JANEIRO-MARAMBAIA,63,25.1,0,-23.05027777,22,29.1,RJ,3.7,A602,-43.59555555
73.8,2021-01-23,RIO DE JANEIRO-MARAMBAIA,49,24.9,0,-23.05027777,21.2,31.2,RJ,4.4,A602,-43.59555555
70.5,2021-01-24,RIO DE JANEIRO-MARAMBAIA,39,25.2,0,-23.05027777,20.4,32.5,RJ,3.6,A602,-43.59555555
68.9,2021-01-25,RIO DE JANEIRO-MARAMBAIA,37,26.2,0,-23.05027777,20,34.6,RJ,3,A602,-43.59555555
69.6,2021-01-26,RIO DE JANEIRO-MARAMBAIA,45,26.3,0,-23.05027777,22.1,33.8,RJ,2.8,A602,-43.59555555
55.5,2021-01-27,RIO DE JANEIRO-MARAMBAIA,21,29.6,0,-23.05027777,20.7,39,RJ,3.7,A602,-43.59555555
49.9,2021-01-28,RIO DE JANEIRO-MARAMBAIA,23,28.6,0,-23.05027777,22.7,38.7,RJ,3.9,A602,-43.59555555
52.2,2021-01-29,RIO DE JANEIRO-MARAMBAIA,20,29.3,0,-23.05027777,22.1,40,RJ,3.7,A602,-43.59555555
56.4,2021-01-30,RIO DE JANEIRO-MARAMBAIA,23,29.5,0,-23.05027777,23,39.7,RJ,3.8,A602,-43.59555555
56.6,2021-01-31,RIO DE JANEIRO-MARAMBAIA,26,29.7,0,-23.05027777,22,38.6,RJ,3.6,A602,-43.59555555
64.3,2021-02-01,RIO DE JANEIRO-MARAMBAIA,31,27.8,0,-23.05027777,21.5,37.1,RJ,3.5,A602,-43.59555555
66.2,2021-02-02,RIO DE JANEIRO-MARAMBAIA,39,27.6,0,-23.05027777,23.3,34.7,RJ,3.1,A602,-43.59555555
70,2021-02-03,RIO DE JANEIRO-MARAMBAIA,42,27.2,0,-23.05027777,22.9,34.1,RJ,3.1,A602,-43.59555555
60.2,2021-02-04,RIO DE JANEIRO-MARAMBAIA,28,29.4,0,-23.05027777,22.4,39.5,RJ,3.6,A602,-43.59555555
83.3,2021-02-05,RIO DE JANEIRO-MARAMBAIA,55,24.5,6.4,-23.05027777,22,31.7,RJ,3.8,A602,-43.59555555
88.8,2021-02-06,RIO DE JANEIRO-MARAMBAIA,79,22,71.8,-23.05027777,20.5,24.8,RJ,3.1,A602,-43.59555555
82.8,2021-02-07,RIO DE JANEIRO-MARAMBAIA,66,23.1,8,-23.05027777,19.5,27.4,RJ,,A602,-43.59555555
83.6,2021-02-08,RIO DE JANEIRO-MARAMBAIA,69,22.3,0.8,-23.05027777,20.8,25.9,RJ,,A602,-43.59555555
79,2021-02-09,RIO DE JANEIRO-MARAMBAIA,65,23.3,16.2,-23.05027777,20.1,27.2,RJ,,A602,-43.59555555
79.4,2021-02-10,RIO DE JANEIRO-MARAMBAIA,65,23.9,0,-23.05027777,20.2,28,RJ,,A602,-43.59555555
