UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
74.6,2017-01-01,RIO CLARO,35,26.2,8.8,-22.653579,20.7,35.4,RJ,1.4,A626,-44.040916
77.1,2017-01-02,RIO CLARO,46,25.1,0.2,-22.653579,21,33.5,RJ,1.4,A626,-44.040916
80.5,2017-01-03,RIO CLARO,54,24,1,-22.653579,20.1,31.6,RJ,1.8,A626,-44.040916
77.2,2017-01-04,RIO CLARO,39,24.5,24.8,-22.653579,19.1,33.6,RJ,1.8,A626,-44.040916
76,2017-01-05,RIO CLARO,39,25.2,0,-22.653579,20.5,33.9,RJ,1.7,A626,-44.040916
77.8,2017-01-06,RIO CLARO,45,24.5,15.8,-22.653579,19.3,32.5,RJ,1.6,A626,-44.040916
84.4,2017-01-07,RIO CLARO,52,23.8,0,-22.653579,20.2,32.6,RJ,1.6,A626,-44.040916
82.5,2017-01-08,RIO CLARO,53,23.9,29.2,-22.653579,20.3,31.1,RJ,1.7,A626,-44.040916
78.8,2017-01-09,RIO CLARO,45,24.6,0.6,-22.653579,19.9,33.6,RJ,1.6,A626,-44.040916
79.2,2017-01-10,RIO CLARO,44,24.9,0,-22.653579,20.9,35.2,RJ,1.8,A626,-44.040916
87.2,2017-01-11,RIO CLARO,51,23.5,64.6,-22.653579,19.4,32.3,RJ,1.4,A626,-44.040916
88.3,2017-01-12,RIO CLARO,76,23,13.2,-22.653579,20.8,26.4,RJ,1.2,A626,-44.040916
89.1,2017-01-13,RIO CLARO,78,22.7,6.8,-22.653579,21.1,25,RJ,1.2,A626,-44.040916
81.9,2017-01-14,RIO CLARO,53,24.1,0,-22.653579,20.7,29.9,RJ,1.5,A626,-44.040916
85.8,2017-01-15,RIO CLARO,55,23.4,0,-22.653579,20.4,31.1,RJ,1.6,A626,-44.040916
79.3,2017-01-16,RIO CLARO,47,24.6,35.4,-22.653579,20.8,31.1,RJ,,A626,-44.040916
72.5,2017-01-17,RIO CLARO,48,25.1,0.2,-22.653579,20.8,30.9,RJ,,A626,-44.040916
66.3,2017-01-18,RIO CLARO,46,25.4,0,-22.653579,18.8,32.2,RJ,,A626,-44.040916
81.5,2017-01-19,RIO CLARO,58,23.7,0,-22.653579,21.1,29.9,RJ,,A626,-44.040916
84.3,2017-01-20,RIO CLARO,61,22.5,6,-22.653579,19.7,28.5,RJ,,A626,-44.040916
80,2017-01-21,RIO CLARO,50,23.3,0.2,-22.653579,19.5,30.1,RJ,,A626,-44.040916
79.7,2017-01-22,RIO CLARO,56,23.4,0,-22.653579,19.1,29.1,RJ,,A626,-44.040916
82.3,2017-01-23,RIO CLARO,55,23.2,6,-22.653579,19.4,30.5,RJ,,A626,-44.040916
83.4,2017-01-24,RIO CLARO,53,23.3,8.6,-22.653579,19.4,31.2,RJ,,A626,-44.040916
81.9,2017-01-25,RIO CLARO,48,24.1,2.6,-22.653579,20.2,32.3,RJ,,A626,-44.040916
85.7,2017-01-26,RIO CLARO,48,23.5,0.2,-22.653579,21,32.5,RJ,,A626,-44.040916
79.2,2017-01-27,RIO CLARO,43,25.3,63,-22.653579,20.9,32.6,RJ,,A626,-44.040916
73.9,2017-01-28,RIO CLARO,40,25.4,0,-22.653579,19.9,31.8,RJ,,A626,-44.040916
74.5,2017-01-29,RIO CLARO,43,25.2,0,-22.653579,20.5,31.2,RJ,,A626,-44.040916
74.3,2017-01-30,RIO CLARO,48,24.8,0,-22.653579,20.3,30.7,RJ,,A626,-44.040916
75.5,2017-01-31,RIO CLARO,49,24.1,0,-22.653579,19.7,30,RJ,,A626,-44.040916
76.9,2017-02-01,RIO CLARO,55,23.7,0,-22.653579,19.9,29.1,RJ,,A626,-44.040916
80.9,2017-02-02,RIO CLARO,48,22.9,0,-22.653579,19.4,31.5,RJ,,A626,-44.040916
79,2017-02-03,RIO CLARO,42,24,3.6,-22.653579,19.9,31.3,RJ,,A626,-44.040916
81.2,2017-02-04,RIO CLARO,46,24.1,0,-22.653579,20.8,32.1,RJ,,A626,-44.040916
