UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
80.3,2019-01-01,RIO CLARO,44,24.3,0,-22.653579,19.6,33.5,RJ,1.7,A626,-44.040916
80.4,2019-01-02,RIO CLARO,42,25.2,0.8,-22.653579,20.6,35,RJ,1.5,A626,-44.040916
78.8,2019-01-03,RIO CLARO,37,25.2,4.8,-22.653579,20.4,37,RJ,1.7,A626,-44.040916
86,2019-01-04,RIO CLARO,48,23.9,15.6,-22.653579,19.7,33.7,RJ,1.7,A626,-44.040916
85.4,2019-01-05,RIO CLARO,56,23.4,116.2,-22.653579,21.1,31.2,RJ,1.8,A626,-44.040916
82.6,2019-01-06,RIO CLARO,46,24.5,8.6,-22.653579,21.1,32.9,RJ,1.7,A626,-44.040916
71,2019-01-07,RIO CLARO,38,26.3,8,-22.653579,19.5,35,RJ,1.5,A626,-44.040916
76.3,2019-01-08,RIO CLARO,44,25.6,0,-22.653579,20.1,34.7,RJ,1.4,A626,-44.040916
72.2,2019-01-09,RIO CLARO,43,25.9,6.4,-22.653579,19.8,32.6,RJ,1.9,A626,-44.040916
69.1,2019-01-10,RIO CLARO,44,25.6,0,-22.653579,19.1,32.5,RJ,2.1,A626,-44.040916
72.4,2019-01-11,RIO CLARO,37,25.7,0,-22.653579,19.4,33.6,RJ,1.4,A626,-44.040916
75.7,2019-01-12,RIO CLARO,42,24.7,0,-22.653579,18.9,32.8,RJ,1.5,A626,-44.040916
69.1,2019-01-13,RIO CLARO,40,25.7,0,-22.653579,19.8,32.1,RJ,1.8,A626,-44.040916
71.4,2019-01-14,RIO CLARO,46,26,0,-22.653579,19.6,33.2,RJ,1.7,A626,-44.040916
73.5,2019-01-15,RIO CLARO,36,25.8,0,-22.653579,20.8,35.4,RJ,1.8,A626,-44.040916
75.5,2019-01-16,RIO CLARO,38,25.3,0.4,-22.653579,20.5,35.3,RJ,1.8,A626,-44.040916
69.6,2019-01-17,RIO CLARO,29,26.3,3.6,-22.653579,19.6,35.3,RJ,1.9,A626,-44.040916
69.5,2019-01-18,RIO CLARO,45,26.7,0,-22.653579,20.2,34.1,RJ,1.6,A626,-44.040916
