UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
89.2,2022-01-01,DUQUE DE CAXIAS - XERÉM,59,24.6,1.2,-22.58972221,21.7,30.9,RJ,0.6,A603,-43.28222221
82.1,2022-01-02,DUQUE DE CAXIAS - XERÉM,56,26.4,3,-22.58972221,22.6,31.7,RJ,0.8,A603,-43.28222221
78.8,2022-01-03,DUQUE DE CAXIAS - XERÉM,46,27.3,4.4,-22.58972221,22.8,33.9,RJ,0.6,A603,-43.28222221
71,2022-01-04,DUQUE DE CAXIAS - XERÉM,50,28.1,0.2,-22.58972221,23.2,34.7,RJ,1.3,A603,-43.28222221
59.1,2022-01-05,DUQUE DE CAXIAS - XERÉM,44,29.5,0,-22.58972221,25.7,33.4,RJ,2.1,A603,-43.28222221
89.4,2022-01-06,DUQUE DE CAXIAS - XERÉM,56,25.8,10.6,-22.58972221,23.4,31.5,RJ,0.7,A603,-43.28222221
96.6,2022-01-07,DUQUE DE CAXIAS - XERÉM,88,23.4,35.6,-22.58972221,23.1,25.1,RJ,0.7,A603,-43.28222221
96.7,2022-01-08,DUQUE DE CAXIAS - XERÉM,89,22.4,118,-22.58972221,21.9,23.5,RJ,0.7,A603,-43.28222221
93.1,2022-01-09,DUQUE DE CAXIAS - XERÉM,70,22.2,41,-22.58972221,21.1,26.1,RJ,0.4,A603,-43.28222221
91.8,2022-01-10,DUQUE DE CAXIAS - XERÉM,73,22.5,12.8,-22.58972221,20,26.9,RJ,0.3,A603,-43.28222221
92.8,2022-01-11,DUQUE DE CAXIAS - XERÉM,68,24,18.4,-22.58972221,21.5,30.9,RJ,0.4,A603,-43.28222221
91,2022-01-12,DUQUE DE CAXIAS - XERÉM,65,25.2,5.2,-22.58972221,22,31.5,RJ,0.7,A603,-43.28222221
88.8,2022-01-13,DUQUE DE CAXIAS - XERÉM,65,25.9,5.4,-22.58972221,23,31.6,RJ,0.5,A603,-43.28222221
83.7,2022-01-14,DUQUE DE CAXIAS - XERÉM,60,27,1,-22.58972221,21.9,33.2,RJ,0.6,A603,-43.28222221
87.5,2022-01-15,DUQUE DE CAXIAS - XERÉM,68,27.1,0,-22.58972221,24.7,31.6,RJ,0.5,A603,-43.28222221
84.3,2022-01-16,DUQUE DE CAXIAS - XERÉM,48,26.7,0,-22.58972221,23.4,33.2,RJ,1,A603,-43.28222221
79.8,2022-01-17,DUQUE DE CAXIAS - XERÉM,46,27.8,4.4,-22.58972221,22,35.9,RJ,1,A603,-43.28222221
78.5,2022-01-18,DUQUE DE CAXIAS - XERÉM,44,28.6,0.2,-22.58972221,22.3,37.2,RJ,0.8,A603,-43.28222221
86.8,2022-01-19,DUQUE DE CAXIAS - XERÉM,55,26.9,0,-22.58972221,23.4,35.7,RJ,0.6,A603,-43.28222221
85.7,2022-01-20,DUQUE DE CAXIAS - XERÉM,57,27,17.2,-22.58972221,22.8,34.5,RJ,0.7,A603,-43.28222221
82.1,2022-01-21,DUQUE DE CAXIAS - XERÉM,55,27,1.2,-22.58972221,22.1,33.2,RJ,0.8,A603,-43.28222221
78.9,2022-01-22,DUQUE DE CAXIAS - XERÉM,50,27.3,0,-22.58972221,22.4,33.7,RJ,0.7,A603,-43.28222221
78.6,2022-01-23,DUQUE DE CAXIAS - XERÉM,46,27.2,0,-22.58972221,20.9,34.8,RJ,0.7,A603,-43.28222221
76.9,2022-01-24,DUQUE DE CAXIAS - XERÉM,43,27.3,0,-22.58972221,20.3,35.5,RJ,0.9,A603,-43.28222221
75.3,2022-01-25,DUQUE DE CAXIAS - XERÉM,41,27.6,0,-22.58972221,20.8,36.1,RJ,1.1,A603,-43.28222221
70.7,2022-01-26,DUQUE DE CAXIAS - XERÉM,35,28.3,0,-22.58972221,21,36.8,RJ,0.8,A603,-43.28222221
50.5,2022-01-27,DUQUE DE CAXIAS - XERÉM,32,31.9,0,-22.58972221,27.2,38.2,RJ,2.1,A603,-43.28222221
83.5,2022-01-28,DUQUE DE CAXIAS - XERÉM,53,26.5,0,-22.58972221,23.2,35,RJ,0.8,A603,-43.28222221
91.3,2022-01-29,DUQUE DE CAXIAS - XERÉM,58,25.2,28.4,-22.58972221,21.9,32.5,RJ,0.6,A603,-43.28222221
89.8,2022-01-30,DUQUE DE CAXIAS - XERÉM,68,25.5,8.6,-22.58972221,23.3,30.2,RJ,0.5,A603,-43.28222221
92,2022-01-31,DUQUE DE CAXIAS - XERÉM,68,24.9,22.6,-22.58972221,22.1,30.2,RJ,0.6,A603,-43.28222221
85.3,2022-02-01,DUQUE DE CAXIAS - XERÉM,49,26.8,0.2,-22.58972221,23.8,34.1,RJ,0.4,A603,-43.28222221
90,2022-02-02,DUQUE DE CAXIAS - XERÉM,60,25,12.2,-22.58972221,23,31.3,RJ,0.3,A603,-43.28222221
88.4,2022-02-03,DUQUE DE CAXIAS - XERÉM,63,25.4,2.6,-22.58972221,22.6,30.9,RJ,0.4,A603,-43.28222221
85.5,2022-02-04,DUQUE DE CAXIAS - XERÉM,56,26.6,0,-22.58972221,22.1,33.4,RJ,0.6,A603,-43.28222221
82.4,2022-02-05,DUQUE DE CAXIAS - XERÉM,50,27.6,0,-22.58972221,23.3,35.6,RJ,0.8,A603,-43.28222221
73.7,2022-02-06,DUQUE DE CAXIAS - XERÉM,42,28.4,0,-22.58972221,23.3,35.7,RJ,1.3,A603,-43.28222221
88.7,2022-02-07,DUQUE DE CAXIAS - XERÉM,55,25.7,27.8,-22.58972221,22.5,33,RJ,0.5,A603,-43.28222221
95.7,2022-02-08,DUQUE DE CAXIAS - XERÉM,83,22.5,63.2,-22.58972221,22.8,24.5,RJ,0.4,A603,-43.28222221
89.7,2022-02-09,DUQUE DE CAXIAS - XERÉM,73,21.5,20.2,-22.58972221,18.5,25.4,RJ,0.4,A603,-43.28222221
93.4,2022-02-10,DUQUE DE CAXIAS - XERÉM,76,22.1,11.2,-22.58972221,20.2,25.2,RJ,0.1,A603,-43.28222221
89.2,2022-02-11,DUQUE DE CAXIAS - XERÉM,67,23,0.8,-22.58972221,20.1,28,RJ,0.4,A603,-43.28222221
90.8,2022-02-12,DUQUE DE CAXIAS - XERÉM,73,23.7,2,-22.58972221,21.9,27.6,RJ,0.3,A603,-43.28222221
83.8,2022-02-13,DUQUE DE CAXIAS - XERÉM,60,25,1.6,-22.58972221,19.5,31.3,RJ,0.6,A603,-43.28222221
81.5,2022-02-14,DUQUE DE CAXIAS - XERÉM,39,27.7,1,-22.58972221,23.1,36.7,RJ,0.7,A603,-43.28222221
