UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
96.4,2022-01-01,TRÊS RIOS,79,23.1,18,-22.09833333,20.6,27.3,RJ,0.8,A625,-43.20833333
91.3,2022-01-02,TRÊS RIOS,61,24.2,19,-22.09833333,21.4,30.8,RJ,0.7,A625,-43.20833333
91,2022-01-03,TRÊS RIOS,67,24.4,19.4,-22.09833333,22.2,29.1,RJ,0.9,A625,-43.20833333
84.8,2022-01-04,TRÊS RIOS,59,25.3,0.4,-22.09833333,21.2,31.5,RJ,0.8,A625,-43.20833333
87.3,2022-01-05,TRÊS RIOS,53,25.4,0,-22.09833333,22.4,31.4,RJ,0.7,A625,-43.20833333
95.2,2022-01-06,TRÊS RIOS,77,24.4,16.2,-22.09833333,22.9,27.6,RJ,0.8,A625,-43.20833333
95,2022-01-07,TRÊS RIOS,69,23.3,26,-22.09833333,21.4,27.6,RJ,0.8,A625,-43.20833333
98.5,2022-01-08,TRÊS RIOS,83,22.2,26.4,-22.09833333,21.1,24.6,RJ,0.7,A625,-43.20833333
97.2,2022-01-09,TRÊS RIOS,84,,10.6,-22.09833333,20.3,23.7,RJ,0.7,A625,-43.20833333
96,2022-01-10,TRÊS RIOS,75,21.5,,-22.09833333,18.6,28.1,RJ,0.8,A625,-43.20833333
93.6,2022-01-11,TRÊS RIOS,62,23.6,30.2,-22.09833333,21.3,31,RJ,0.7,A625,-43.20833333
86,2022-01-12,TRÊS RIOS,55,25.6,21,-22.09833333,21.3,32.5,RJ,0.8,A625,-43.20833333
83.5,2022-01-13,TRÊS RIOS,50,26.1,46.2,-22.09833333,21.2,34.2,RJ,1,A625,-43.20833333
76.8,2022-01-14,TRÊS RIOS,42,27.8,0.2,-22.09833333,23.3,35.1,RJ,0.7,A625,-43.20833333
81.2,2022-01-15,TRÊS RIOS,53,26.1,0,-22.09833333,23,31.8,RJ,0.7,A625,-43.20833333
85.5,2022-01-16,TRÊS RIOS,60,24.6,5,-22.09833333,21,31.7,RJ,1,A625,-43.20833333
81.8,2022-01-17,TRÊS RIOS,53,26.3,0,-22.09833333,21.1,33.6,RJ,1,A625,-43.20833333
76.5,2022-01-18,TRÊS RIOS,43,27.7,0,-22.09833333,21.9,35.5,RJ,0.9,A625,-43.20833333
80.5,2022-01-19,TRÊS RIOS,47,27.4,0,-22.09833333,22.3,34.9,RJ,0.9,A625,-43.20833333
78.3,2022-01-20,TRÊS RIOS,44,27,3.2,-22.09833333,21.5,35.1,RJ,0.8,A625,-43.20833333
74.1,2022-01-21,TRÊS RIOS,43,27.6,0,-22.09833333,23.3,34.4,RJ,0.7,A625,-43.20833333
69.3,2022-01-22,TRÊS RIOS,40,27,0,-22.09833333,22.6,34,RJ,0.8,A625,-43.20833333
72.3,2022-01-23,TRÊS RIOS,38,25.9,0,-22.09833333,19.1,33.3,RJ,0.9,A625,-43.20833333
76.2,2022-01-24,TRÊS RIOS,47,25.7,0,-22.09833333,19.5,33.4,RJ,0.9,A625,-43.20833333
72,2022-01-25,TRÊS RIOS,44,25.9,0,-22.09833333,19.7,33.1,RJ,0.8,A625,-43.20833333
74.2,2022-01-26,TRÊS RIOS,42,26.1,0,-22.09833333,20.3,34,RJ,0.9,A625,-43.20833333
75.8,2022-01-27,TRÊS RIOS,40,26.8,0,-22.09833333,20.9,35.5,RJ,0.8,A625,-43.20833333
83.1,2022-01-28,TRÊS RIOS,49,26.1,3.2,-22.09833333,22.2,33.7,RJ,1,A625,-43.20833333
92.1,2022-01-29,TRÊS RIOS,61,24,16.8,-22.09833333,21.3,31.4,RJ,0.9,A625,-43.20833333
87.2,2022-01-30,TRÊS RIOS,57,24.5,2,-22.09833333,21.1,31,RJ,0.8,A625,-43.20833333
89.7,2022-01-31,TRÊS RIOS,70,,25,-22.09833333,20.9,28.8,RJ,0.6,A625,-43.20833333
,2022-02-01,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-02,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-03,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-04,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-05,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-06,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-07,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-08,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-09,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-10,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-11,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-12,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-13,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-14,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-15,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-16,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-17,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-18,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-19,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-20,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-21,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-22,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-23,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-24,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-25,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-26,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-27,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-02-28,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-01,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-02,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-03,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-04,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-05,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-06,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-07,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-08,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-09,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-10,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-11,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-12,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-13,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-14,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-15,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-16,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-17,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-18,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-19,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-20,TRÊS RIOS,,,,-22.09833333,,,RJ,,A625,-43.20833333
,2022-03-21,TRÊS RIOS,59,,,-22.09833333,,,RJ,,A625,-43.20833333
77.9,2022-03-22,TRÊS RIOS,50,21.6,1.4,-22.09833333,16.6,27.8,RJ,0.7,A625,-43.20833333
79.3,2022-03-23,TRÊS RIOS,56,22.2,0,-22.09833333,18.5,27.1,RJ,0.6,A625,-43.20833333
78,2022-03-24,TRÊS RIOS,43,23.4,0,-22.09833333,16.9,32.5,RJ,0.8,A625,-43.20833333
78.5,2022-03-25,TRÊS RIOS,40,25.2,0,-22.09833333,18.8,34.4,RJ,0.9,A625,-43.20833333
77.2,2022-03-26,TRÊS RIOS,45,26.5,0,-22.09833333,20.4,34.6,RJ,0.8,A625,-43.20833333
78.4,2022-03-27,TRÊS RIOS,39,26.4,0,-22.09833333,20.8,35.6,RJ,1.2,A625,-43.20833333
83.5,2022-03-28,TRÊS RIOS,52,25.4,14.4,-22.09833333,21.8,32.3,RJ,0.8,A625,-43.20833333
81.5,2022-03-29,TRÊS RIOS,43,25.4,0.6,-22.09833333,22.1,32.8,RJ,0.7,A625,-43.20833333
83.8,2022-03-30,TRÊS RIOS,50,25.6,0.2,-22.09833333,21.3,32.9,RJ,0.6,A625,-43.20833333
75,2022-03-31,TRÊS RIOS,41,26.5,0,-22.09833333,21.8,34.8,RJ,1.1,A625,-43.20833333
86.4,2022-04-01,TRÊS RIOS,67,23.7,3.4,-22.09833333,21.4,26.7,RJ,0.8,A625,-43.20833333
86.3,2022-04-02,TRÊS RIOS,69,23.6,0.2,-22.09833333,20.6,26.9,RJ,0.8,A625,-43.20833333
84.8,2022-04-03,TRÊS RIOS,51,25.1,4.2,-22.09833333,21.8,32.1,RJ,0.7,A625,-43.20833333
84.5,2022-04-04,TRÊS RIOS,53,25.1,0.2,-22.09833333,21.3,31.4,RJ,0.7,A625,-43.20833333
80.6,2022-04-05,TRÊS RIOS,44,25.8,0,-22.09833333,20.7,34.4,RJ,0.9,A625,-43.20833333
79,2022-04-06,TRÊS RIOS,56,25,0,-22.09833333,22,29.8,RJ,1.4,A625,-43.20833333
79.1,2022-04-07,TRÊS RIOS,54,24.2,0,-22.09833333,20.6,29.4,RJ,0.7,A625,-43.20833333
81.5,2022-04-08,TRÊS RIOS,58,24.3,0,-22.09833333,20.8,29.6,RJ,0.7,A625,-43.20833333
89,2022-04-09,TRÊS RIOS,61,24.3,25.6,-22.09833333,20.2,31.1,RJ,0.9,A625,-43.20833333
81.5,2022-04-10,TRÊS RIOS,48,24.6,6.4,-22.09833333,20.1,31.2,RJ,1,A625,-43.20833333
85.3,2022-04-11,TRÊS RIOS,51,23.8,0.2,-22.09833333,20.2,30.8,RJ,0.7,A625,-43.20833333
90.5,2022-04-12,TRÊS RIOS,70,23.1,0,-22.09833333,18.9,28.8,RJ,0.6,A625,-43.20833333
85.8,2022-04-13,TRÊS RIOS,55,24.8,0,-22.09833333,20.4,32.1,RJ,0.6,A625,-43.20833333
