UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
,2017-01-01,RESENDE,,,,-22.45138888,,,RJ,,A609,-44.44499999
,2017-01-02,RESENDE,,,,-22.45138888,,,RJ,,A609,-44.44499999
76.9,2017-01-03,RESENDE,44,24.7,,-22.45138888,,33,RJ,2.3,A609,-44.44499999
73.8,2017-01-04,RESENDE,36,25.1,2.4,-22.45138888,20.2,33.8,RJ,1.6,A609,-44.44499999
75,2017-01-05,RESENDE,43,24.9,1.2,-22.45138888,20.7,33.3,RJ,1.8,A609,-44.44499999
75.5,2017-01-06,RESENDE,38,24.5,1.2,-22.45138888,18.8,33.9,RJ,2,A609,-44.44499999
84.3,2017-01-07,RESENDE,58,23.3,2.4,-22.45138888,21.2,30.2,RJ,1.8,A609,-44.44499999
80.1,2017-01-08,RESENDE,47,24.4,8,-22.45138888,20.8,33.3,RJ,1.7,A609,-44.44499999
80.1,2017-01-09,RESENDE,50,24.7,8.8,-22.45138888,20.7,31.7,RJ,1.4,A609,-44.44499999
70.5,2017-01-10,RESENDE,42,26.4,9.8,-22.45138888,21.2,34.2,RJ,2.3,A609,-44.44499999
79.4,2017-01-11,RESENDE,49,24.8,6,-22.45138888,21.3,32.2,RJ,1.6,A609,-44.44499999
85.5,2017-01-12,RESENDE,64,23.6,5.6,-22.45138888,21.7,27.5,RJ,1.5,A609,-44.44499999
89.8,2017-01-13,RESENDE,64,22.4,15.4,-22.45138888,20.7,27.7,RJ,1.1,A609,-44.44499999
78.7,2017-01-14,RESENDE,45,24.5,34.6,-22.45138888,20.2,32.3,RJ,1.6,A609,-44.44499999
75.8,2017-01-15,RESENDE,46,24.6,6,-22.45138888,20.2,32.8,RJ,1.7,A609,-44.44499999
78.6,2017-01-16,RESENDE,45,25,17,-22.45138888,21.7,32.9,RJ,1.4,A609,-44.44499999
74.5,2017-01-17,RESENDE,45,25.4,3.4,-22.45138888,21.2,31.3,RJ,1.8,A609,-44.44499999
56.6,2017-01-18,RESENDE,31,27.5,0,-22.45138888,22.3,34.4,RJ,2.6,A609,-44.44499999
81.6,2017-01-19,RESENDE,58,24.1,2.8,-22.45138888,22.2,28.1,RJ,1.8,A609,-44.44499999
81.9,2017-01-20,RESENDE,60,23.1,10.2,-22.45138888,20.2,28.1,RJ,2,A609,-44.44499999
77.5,2017-01-21,RESENDE,44,23.9,8,-22.45138888,20.4,31.9,RJ,1.8,A609,-44.44499999
81.1,2017-01-22,RESENDE,52,23.5,3,-22.45138888,20.7,31.2,RJ,1.7,A609,-44.44499999
85.9,2017-01-23,RESENDE,56,22.3,7.6,-22.45138888,19.2,30.5,RJ,1.6,A609,-44.44499999
83.2,2017-01-24,RESENDE,56,23.4,14.2,-22.45138888,19.7,30,RJ,1.7,A609,-44.44499999
80.4,2017-01-25,RESENDE,41,24.3,16,-22.45138888,20.5,33.9,RJ,1.3,A609,-44.44499999
82.4,2017-01-26,RESENDE,46,24.3,0,-22.45138888,21.3,33,RJ,1.6,A609,-44.44499999
74.7,2017-01-27,RESENDE,34,25.8,12.2,-22.45138888,20.6,34.6,RJ,2.2,A609,-44.44499999
69,2017-01-28,RESENDE,34,26.3,11.4,-22.45138888,20.8,33.6,RJ,2.3,A609,-44.44499999
70.3,2017-01-29,RESENDE,38,26,0,-22.45138888,21.2,32.1,RJ,2.3,A609,-44.44499999
68,2017-01-30,RESENDE,41,26,0,-22.45138888,21.4,31.7,RJ,2.6,A609,-44.44499999
66.4,2017-01-31,RESENDE,38,25.1,0,-22.45138888,20.6,29.8,RJ,2.2,A609,-44.44499999
74.3,2017-02-01,RESENDE,56,24.2,0,-22.45138888,21.2,28.6,RJ,1.7,A609,-44.44499999
78,2017-02-02,RESENDE,47,23.6,0,-22.45138888,20.2,30.4,RJ,1.6,A609,-44.44499999
78,2017-02-03,RESENDE,51,24.5,21,-22.45138888,20.7,30.8,RJ,1.2,A609,-44.44499999
80.3,2017-02-04,RESENDE,49,24.1,2,-22.45138888,21.3,31.5,RJ,1.8,A609,-44.44499999
80.9,2017-02-05,RESENDE,47,24,1.2,-22.45138888,20.6,31.6,RJ,1.6,A609,-44.44499999
78.5,2017-02-06,RESENDE,48,24.6,7,-22.45138888,20.5,32.4,RJ,1.8,A609,-44.44499999
74.7,2017-02-07,RESENDE,44,25.2,11.6,-22.45138888,20.3,32.3,RJ,1.8,A609,-44.44499999
74.7,2017-02-08,RESENDE,48,25.1,0.8,-22.45138888,21.7,31.5,RJ,2.1,A609,-44.44499999
70.9,2017-02-09,RESENDE,46,23.9,0,-22.45138888,19.4,30,RJ,2.4,A609,-44.44499999
67.1,2017-02-10,RESENDE,39,25.4,0,-22.45138888,21.3,31.6,RJ,3,A609,-44.44499999
65.4,2017-02-11,RESENDE,37,26.8,0,-22.45138888,21.5,32.9,RJ,2.5,A609,-44.44499999
61,2017-02-12,RESENDE,35,27.1,0,-22.45138888,20.7,33.6,RJ,3.4,A609,-44.44499999
59.6,2017-02-13,RESENDE,33,26.5,0,-22.45138888,20.8,33,RJ,3.7,A609,-44.44499999
60.3,2017-02-14,RESENDE,34,26.5,0,-22.45138888,20.5,33.2,RJ,2.9,A609,-44.44499999
60.4,2017-02-15,RESENDE,33,26.9,0,-22.45138888,20.5,33.5,RJ,2.3,A609,-44.44499999
61.9,2017-02-16,RESENDE,25,26.1,0,-22.45138888,19,33.1,RJ,1.5,A609,-44.44499999
63.1,2017-02-17,RESENDE,32,26.4,0,-22.45138888,18.7,35.1,RJ,1.6,A609,-44.44499999
60.5,2017-02-18,RESENDE,30,27.8,0,-22.45138888,21,35.7,RJ,1.9,A609,-44.44499999
60.3,2017-02-19,RESENDE,23,27.6,0,-22.45138888,20.4,36.2,RJ,2.3,A609,-44.44499999
59.5,2017-02-20,RESENDE,26,27,0,-22.45138888,20.3,34.4,RJ,2.4,A609,-44.44499999
58.5,2017-02-21,RESENDE,30,26.9,0,-22.45138888,21.5,33,RJ,2.9,A609,-44.44499999
64.1,2017-02-22,RESENDE,34,25.9,0,-22.45138888,19.5,33.5,RJ,1.8,A609,-44.44499999
61,2017-02-23,RESENDE,27,26,0,-22.45138888,18.5,35.3,RJ,1.6,A609,-44.44499999
69.1,2017-02-24,RESENDE,29,24.9,0,-22.45138888,19.6,35.4,RJ,2,A609,-44.44499999
85.2,2017-02-25,RESENDE,62,22.2,9,-22.45138888,19.8,26.4,RJ,1,A609,-44.44499999
83,2017-02-26,RESENDE,64,23.2,3.4,-22.45138888,20.9,26.9,RJ,1.5,A609,-44.44499999
79.5,2017-02-27,RESENDE,46,23.7,5,-22.45138888,20.4,30.2,RJ,1.8,A609,-44.44499999
72.9,2017-02-28,RESENDE,36,25.2,14,-22.45138888,19.9,33.1,RJ,1.6,A609,-44.44499999
68.4,2017-03-01,RESENDE,33,25.8,1.2,-22.45138888,20.7,34.6,RJ,1.8,A609,-44.44499999
75.9,2017-03-02,RESENDE,45,24.7,0,-22.45138888,21,32.3,RJ,1.7,A609,-44.44499999
83,2017-03-03,RESENDE,53,23.7,8,-22.45138888,21.2,32,RJ,1.6,A609,-44.44499999
79,2017-03-04,RESENDE,51,24.4,1.6,-22.45138888,20.7,31.4,RJ,1.3,A609,-44.44499999
74.8,2017-03-05,RESENDE,45,25.2,0,-22.45138888,21.7,32.6,RJ,2,A609,-44.44499999
87.3,2017-03-06,RESENDE,65,23.1,28.2,-22.45138888,21,28.1,RJ,1.4,A609,-44.44499999
82.6,2017-03-07,RESENDE,50,23.7,6.6,-22.45138888,20.6,31.6,RJ,1.4,A609,-44.44499999
81,2017-03-08,RESENDE,51,24.4,8.4,-22.45138888,21.7,30.3,RJ,2.1,A609,-44.44499999
74.7,2017-03-09,RESENDE,43,25.4,6.4,-22.45138888,21,32.2,RJ,2.2,A609,-44.44499999
67.8,2017-03-10,RESENDE,38,26.8,0,-22.45138888,20.1,34.4,RJ,1.6,A609,-44.44499999
68,2017-03-11,RESENDE,34,26.8,0,-22.45138888,20.7,33.5,RJ,2.1,A609,-44.44499999
68,2017-03-12,RESENDE,36,26.8,0,-22.45138888,21.2,33.6,RJ,1.9,A609,-44.44499999
69.5,2017-03-13,RESENDE,42,25.4,0,-22.45138888,20.6,32.1,RJ,2.4,A609,-44.44499999
74.8,2017-03-14,RESENDE,45,24.9,0,-22.45138888,22,31.5,RJ,2.4,A609,-44.44499999
74.6,2017-03-15,RESENDE,41,23.9,28.6,-22.45138888,19.9,29.9,RJ,1.8,A609,-44.44499999
72.3,2017-03-16,RESENDE,43,25.2,0,-22.45138888,20.5,32,RJ,1.9,A609,-44.44499999
72.2,2017-03-17,RESENDE,34,25.1,0,-22.45138888,19.2,33.7,RJ,1.5,A609,-44.44499999
82.4,2017-03-18,RESENDE,60,23.1,2.4,-22.45138888,21.6,27.4,RJ,1.5,A609,-44.44499999
88.8,2017-03-19,RESENDE,79,20.3,35.8,-22.45138888,19,21.9,RJ,2.1,A609,-44.44499999
79.1,2017-03-20,RESENDE,49,21.2,17,-22.45138888,18.5,27.3,RJ,2.1,A609,-44.44499999
73.4,2017-03-21,RESENDE,45,20.7,0,-22.45138888,14.3,27.6,RJ,1.9,A609,-44.44499999
74.9,2017-03-22,RESENDE,45,21.2,0,-22.45138888,15.7,28.2,RJ,2,A609,-44.44499999
70.6,2017-03-23,RESENDE,43,22.2,0,-22.45138888,17.4,28,RJ,2.2,A609,-44.44499999
73.3,2017-03-24,RESENDE,49,22.9,0,-22.45138888,17.9,29.7,RJ,1.5,A609,-44.44499999
80.1,2017-03-25,RESENDE,43,22.7,0,-22.45138888,18,31.4,RJ,1.6,A609,-44.44499999
77.2,2017-03-26,RESENDE,48,22.4,14.8,-22.45138888,18.6,28.8,RJ,1.7,A609,-44.44499999
72.6,2017-03-27,RESENDE,50,22.8,0,-22.45138888,19.6,28,RJ,1.7,A609,-44.44499999
77.2,2017-03-28,RESENDE,45,21.8,0,-22.45138888,19.2,28.4,RJ,1.5,A609,-44.44499999
74.2,2017-03-29,RESENDE,40,21,2.2,-22.45138888,16.2,28,RJ,1.9,A609,-44.44499999
68.5,2017-03-30,RESENDE,41,21.7,0,-22.45138888,16.8,28.6,RJ,1.7,A609,-44.44499999
71.3,2017-03-31,RESENDE,42,21.2,0,-22.45138888,18.3,27.3,RJ,2.4,A609,-44.44499999
66.6,2017-04-01,RESENDE,42,20.6,0,-22.45138888,14.9,27.8,RJ,2.5,A609,-44.44499999
63.3,2017-04-02,RESENDE,39,21.9,0,-22.45138888,16.3,28.1,RJ,2.7,A609,-44.44499999
70.8,2017-04-03,RESENDE,41,22.1,0,-22.45138888,16.2,28.8,RJ,1.8,A609,-44.44499999
71.8,2017-04-04,RESENDE,38,23,0,-22.45138888,17.9,30.2,RJ,1.6,A609,-44.44499999
70.3,2017-04-05,RESENDE,39,24.4,0,-22.45138888,18,32.3,RJ,1.4,A609,-44.44499999
75.3,2017-04-06,RESENDE,49,23.2,0,-22.45138888,18.4,29.4,RJ,1.3,A609,-44.44499999
85.5,2017-04-07,RESENDE,69,23.1,6,-22.45138888,21.3,27.5,RJ,1.4,A609,-44.44499999
84.7,2017-04-08,RESENDE,57,23.8,13,-22.45138888,21.8,29.9,RJ,1.5,A609,-44.44499999
75.1,2017-04-09,RESENDE,42,25,1.2,-22.45138888,21.3,30.9,RJ,1.6,A609,-44.44499999
71.2,2017-04-10,RESENDE,41,25.6,0,-22.45138888,21.5,31.5,RJ,1.9,A609,-44.44499999
73.4,2017-04-11,RESENDE,48,25.5,0,-22.45138888,21.5,31.5,RJ,1.4,A609,-44.44499999
79.6,2017-04-12,RESENDE,48,23.1,0,-22.45138888,20.9,29.9,RJ,2,A609,-44.44499999
78.9,2017-04-13,RESENDE,60,21.4,6,-22.45138888,19.2,25.9,RJ,2.2,A609,-44.44499999
78.9,2017-04-14,RESENDE,58,21.7,0,-22.45138888,18.7,26.9,RJ,1.4,A609,-44.44499999
73.1,2017-04-15,RESENDE,46,23.7,0,-22.45138888,20.5,30.6,RJ,1.9,A609,-44.44499999
72.7,2017-04-16,RESENDE,42,24.2,0,-22.45138888,20.6,31.1,RJ,1.4,A609,-44.44499999
77.6,2017-04-17,RESENDE,47,22.5,0,-22.45138888,19.5,28.9,RJ,2,A609,-44.44499999
83.9,2017-04-18,RESENDE,62,19.7,7.2,-22.45138888,17.6,23.6,RJ,1.7,A609,-44.44499999
79.8,2017-04-19,RESENDE,61,19.3,0.8,-22.45138888,16,23.1,RJ,1.9,A609,-44.44499999
75.3,2017-04-20,RESENDE,50,20.8,0,-22.45138888,16.8,25.8,RJ,1.6,A609,-44.44499999
78.3,2017-04-21,RESENDE,51,20.9,0,-22.45138888,15.1,28.6,RJ,1.1,A609,-44.44499999
83.3,2017-04-22,RESENDE,53,21.4,2.4,-22.45138888,18.9,25.7,RJ,1.3,A609,-44.44499999
79,2017-04-23,RESENDE,52,20.4,2.4,-22.45138888,16.6,26.6,RJ,1.8,A609,-44.44499999
70,2017-04-24,RESENDE,53,21.6,0,-22.45138888,18.6,26.6,RJ,2.4,A609,-44.44499999
