UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
76.2,2018-01-01,RIO DE JANEIRO - FORTE DE COPACABANA,63,26.5,0,-22.98833333,23.6,31.4,RJ,1.7,A652,-43.19055555
73.7,2018-01-02,RIO DE JANEIRO - FORTE DE COPACABANA,57,27.2,0,-22.98833333,24.3,32.5,RJ,2.2,A652,-43.19055555
72.1,2018-01-03,RIO DE JANEIRO - FORTE DE COPACABANA,43,27.8,0,-22.98833333,25.3,34.6,RJ,3.5,A652,-43.19055555
84.6,2018-01-04,RIO DE JANEIRO - FORTE DE COPACABANA,72,24.6,43.6,-22.98833333,22.5,28.1,RJ,3.5,A652,-43.19055555
81.2,2018-01-05,RIO DE JANEIRO - FORTE DE COPACABANA,66,24.1,5.2,-22.98833333,20,29.3,RJ,2.2,A652,-43.19055555
76.5,2018-01-06,RIO DE JANEIRO - FORTE DE COPACABANA,43,26.3,6,-22.98833333,23.5,33.6,RJ,2.3,A652,-43.19055555
88.1,2018-01-07,RIO DE JANEIRO - FORTE DE COPACABANA,79,24.5,3,-22.98833333,23,26.8,RJ,2.7,A652,-43.19055555
89.6,2018-01-08,RIO DE JANEIRO - FORTE DE COPACABANA,81,23.7,22.8,-22.98833333,21.8,26.2,RJ,2.2,A652,-43.19055555
81.2,2018-01-09,RIO DE JANEIRO - FORTE DE COPACABANA,65,26.2,2.2,-22.98833333,22.9,31.3,RJ,3.3,A652,-43.19055555
76.8,2018-01-10,RIO DE JANEIRO - FORTE DE COPACABANA,63,26.6,0,-22.98833333,23.5,32.1,RJ,4.7,A652,-43.19055555
78.2,2018-01-11,RIO DE JANEIRO - FORTE DE COPACABANA,63,25.3,0,-22.98833333,23.1,31.1,RJ,2.9,A652,-43.19055555
79.8,2018-01-12,RIO DE JANEIRO - FORTE DE COPACABANA,65,24.9,0,-22.98833333,21.9,30.7,RJ,2.1,A652,-43.19055555
73.3,2018-01-13,RIO DE JANEIRO - FORTE DE COPACABANA,58,25.6,0.4,-22.98833333,23.2,29.2,RJ,1.7,A652,-43.19055555
76.3,2018-01-14,RIO DE JANEIRO - FORTE DE COPACABANA,63,25.7,3.8,-22.98833333,23.2,28.8,RJ,2.1,A652,-43.19055555
65.1,2018-01-15,RIO DE JANEIRO - FORTE DE COPACABANA,45,27.3,0,-22.98833333,23.6,31.5,RJ,2.2,A652,-43.19055555
61.3,2018-01-16,RIO DE JANEIRO - FORTE DE COPACABANA,46,27.7,0,-22.98833333,25.1,31,RJ,1.3,A652,-43.19055555
75.4,2018-01-17,RIO DE JANEIRO - FORTE DE COPACABANA,65,26.6,0,-22.98833333,23.2,31,RJ,1.6,A652,-43.19055555
74,2018-01-18,RIO DE JANEIRO - FORTE DE COPACABANA,37,27.4,0,-22.98833333,24,35.1,RJ,2.2,A652,-43.19055555
71.9,2018-01-19,RIO DE JANEIRO - FORTE DE COPACABANA,45,28.6,0,-22.98833333,25.1,33.7,RJ,2.4,A652,-43.19055555
80,2018-01-20,RIO DE JANEIRO - FORTE DE COPACABANA,65,27.1,0,-22.98833333,25.2,30.7,RJ,2.1,A652,-43.19055555
78.2,2018-01-21,RIO DE JANEIRO - FORTE DE COPACABANA,63,27.3,0,-22.98833333,25.3,31.8,RJ,2.6,A652,-43.19055555
73.4,2018-01-22,RIO DE JANEIRO - FORTE DE COPACABANA,53,28.5,0,-22.98833333,25.3,33.5,RJ,1.7,A652,-43.19055555
66.4,2018-01-23,RIO DE JANEIRO - FORTE DE COPACABANA,45,29,0,-22.98833333,26.1,35.9,RJ,2,A652,-43.19055555
68.9,2018-01-24,RIO DE JANEIRO - FORTE DE COPACABANA,55,29.2,0,-22.98833333,26.6,35,RJ,2.2,A652,-43.19055555
77.9,2018-01-25,RIO DE JANEIRO - FORTE DE COPACABANA,69,27.7,0,-22.98833333,26.3,29.3,RJ,2.8,A652,-43.19055555
80.5,2018-01-26,RIO DE JANEIRO - FORTE DE COPACABANA,66,26.8,0,-22.98833333,25.5,30.8,RJ,3.5,A652,-43.19055555
78.7,2018-01-27,RIO DE JANEIRO - FORTE DE COPACABANA,61,26.8,4.6,-22.98833333,24.1,32.1,RJ,5.1,A652,-43.19055555
