UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
71.6,2020-01-01,CAMPOS DOS GOYTACAZES,47,26.5,0,-21.71472222,21.8,32.5,RJ,4,A607,-41.34388888
73.7,2020-01-02,CAMPOS DOS GOYTACAZES,36,27.1,0,-21.71472222,23.7,35.8,RJ,3.5,A607,-41.34388888
79.5,2020-01-03,CAMPOS DOS GOYTACAZES,52,25.9,7.2,-21.71472222,22.5,32.3,RJ,3,A607,-41.34388888
82.1,2020-01-04,CAMPOS DOS GOYTACAZES,61,25.6,8,-21.71472222,22.3,29.8,RJ,1.9,A607,-41.34388888
79.4,2020-01-05,CAMPOS DOS GOYTACAZES,56,26.4,0.8,-21.71472222,23.5,31.7,RJ,2.5,A607,-41.34388888
77.6,2020-01-06,CAMPOS DOS GOYTACAZES,49,27.5,0,-21.71472222,23.9,34.5,RJ,2.3,A607,-41.34388888
74.8,2020-01-07,CAMPOS DOS GOYTACAZES,46,28.3,0,-21.71472222,24.2,36,RJ,3.3,A607,-41.34388888
76.9,2020-01-08,CAMPOS DOS GOYTACAZES,47,27.9,0,-21.71472222,23.9,36.4,RJ,2.9,A607,-41.34388888
74.3,2020-01-09,CAMPOS DOS GOYTACAZES,46,27.5,2.8,-21.71472222,23.6,35.2,RJ,2.9,A607,-41.34388888
72.2,2020-01-10,CAMPOS DOS GOYTACAZES,49,27.9,0.2,-21.71472222,23.4,34.9,RJ,2.7,A607,-41.34388888
66.8,2020-01-11,CAMPOS DOS GOYTACAZES,37,28.4,0,-21.71472222,22.5,36.5,RJ,3.9,A607,-41.34388888
72.3,2020-01-12,CAMPOS DOS GOYTACAZES,50,28.5,0,-21.71472222,23.6,35.2,RJ,1.9,A607,-41.34388888
78.9,2020-01-13,CAMPOS DOS GOYTACAZES,63,27.1,0,-21.71472222,25,31.2,RJ,2.6,A607,-41.34388888
72.6,2020-01-14,CAMPOS DOS GOYTACAZES,37,25.3,1.2,-21.71472222,23.3,28.6,RJ,2.4,A607,-41.34388888
72.1,2020-01-15,CAMPOS DOS GOYTACAZES,49,25.2,0,-21.71472222,20.7,30.6,RJ,2.6,A607,-41.34388888
69,2020-01-16,CAMPOS DOS GOYTACAZES,42,27.7,0,-21.71472222,22.2,36.4,RJ,3.1,A607,-41.34388888
81.9,2020-01-17,CAMPOS DOS GOYTACAZES,64,26.4,0,-21.71472222,25,31.3,RJ,3.9,A607,-41.34388888
74.9,2020-01-18,CAMPOS DOS GOYTACAZES,53,24.1,12.6,-21.71472222,21.7,28.1,RJ,4.8,A607,-41.34388888
70,2020-01-19,CAMPOS DOS GOYTACAZES,53,24.8,0,-21.71472222,21.7,28.9,RJ,3.4,A607,-41.34388888
82.5,2020-01-20,CAMPOS DOS GOYTACAZES,63,22.6,0,-21.71472222,21,26.6,RJ,2.7,A607,-41.34388888
79.6,2020-01-21,CAMPOS DOS GOYTACAZES,59,23.7,16.4,-21.71472222,21.1,27.1,RJ,1.8,A607,-41.34388888
74.3,2020-01-22,CAMPOS DOS GOYTACAZES,51,24.9,0,-21.71472222,20.1,31.5,RJ,1.9,A607,-41.34388888
82,2020-01-23,CAMPOS DOS GOYTACAZES,53,24.3,0,-21.71472222,21.5,29.9,RJ,1.8,A607,-41.34388888
92.1,2020-01-24,CAMPOS DOS GOYTACAZES,86,22.5,46.8,-21.71472222,21,25.2,RJ,1.6,A607,-41.34388888
89.5,2020-01-25,CAMPOS DOS GOYTACAZES,78,23.1,63.8,-21.71472222,22.2,25,RJ,1.6,A607,-41.34388888
79.1,2020-01-26,CAMPOS DOS GOYTACAZES,58,24.4,7.2,-21.71472222,21.2,28.8,RJ,1.6,A607,-41.34388888
83,2020-01-27,CAMPOS DOS GOYTACAZES,63,25,0,-21.71472222,22.2,29.6,RJ,2.2,A607,-41.34388888
74.7,2020-01-28,CAMPOS DOS GOYTACAZES,43,27.7,0,-21.71472222,23,35.3,RJ,3,A607,-41.34388888
74.8,2020-01-29,CAMPOS DOS GOYTACAZES,50,28.6,0,-21.71472222,24.2,34.7,RJ,2.6,A607,-41.34388888
75,2020-01-30,CAMPOS DOS GOYTACAZES,49,28.1,0,-21.71472222,24.1,35.1,RJ,3.6,A607,-41.34388888
75.6,2020-01-31,CAMPOS DOS GOYTACAZES,50,28.3,0,-21.71472222,24.3,35.7,RJ,3.2,A607,-41.34388888
73.6,2020-02-01,CAMPOS DOS GOYTACAZES,40,28.7,0,-21.71472222,24.2,37.2,RJ,2.5,A607,-41.34388888
76.5,2020-02-02,CAMPOS DOS GOYTACAZES,55,27.8,0,-21.71472222,24.5,33.3,RJ,2.1,A607,-41.34388888
77.9,2020-02-03,CAMPOS DOS GOYTACAZES,55,27.5,0.2,-21.71472222,24.4,33,RJ,2.6,A607,-41.34388888
75,2020-02-04,CAMPOS DOS GOYTACAZES,45,27.1,0,-21.71472222,23.3,33.8,RJ,3,A607,-41.34388888
75.8,2020-02-05,CAMPOS DOS GOYTACAZES,53,27.2,0,-21.71472222,24.5,32.8,RJ,3.5,A607,-41.34388888
78.4,2020-02-06,CAMPOS DOS GOYTACAZES,58,26.5,0,-21.71472222,24.4,30.4,RJ,2.6,A607,-41.34388888
84.2,2020-02-07,CAMPOS DOS GOYTACAZES,75,25,0,-21.71472222,22.7,28,RJ,1.7,A607,-41.34388888
77,2020-02-08,CAMPOS DOS GOYTACAZES,56,25.9,9.8,-21.71472222,22.8,31,RJ,2.5,A607,-41.34388888
69.8,2020-02-09,CAMPOS DOS GOYTACAZES,36,27.9,0,-21.71472222,22.7,35.6,RJ,3.2,A607,-41.34388888
71,2020-02-10,CAMPOS DOS GOYTACAZES,40,28.3,4.6,-21.71472222,24,35.2,RJ,2.9,A607,-41.34388888
89.2,2020-02-11,CAMPOS DOS GOYTACAZES,79,23.7,23.4,-21.71472222,22,25.9,RJ,3.1,A607,-41.34388888
88.5,2020-02-12,CAMPOS DOS GOYTACAZES,78,23.4,8,-21.71472222,21.9,25.9,RJ,2.5,A607,-41.34388888
88,2020-02-13,CAMPOS DOS GOYTACAZES,71,22.8,33,-21.71472222,21.2,26.5,RJ,2.7,A607,-41.34388888
78.3,2020-02-14,CAMPOS DOS GOYTACAZES,46,25.5,1,-21.71472222,21,32.4,RJ,2.1,A607,-41.34388888
76.5,2020-02-15,CAMPOS DOS GOYTACAZES,51,26.7,0,-21.71472222,22.3,33.2,RJ,2.8,A607,-41.34388888
75.3,2020-02-16,CAMPOS DOS GOYTACAZES,54,27.5,0,-21.71472222,23.6,32.9,RJ,3.5,A607,-41.34388888
73.3,2020-02-17,CAMPOS DOS GOYTACAZES,51,27.1,0,-21.71472222,24.1,32,RJ,3.9,A607,-41.34388888
