UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
79.3,2022-01-01,CAMPOS DOS GOYTACAZES,58,25.9,0.2,-21.71472222,23.4,30.9,RJ,3.4,A607,-41.34388888
75.9,2022-01-02,CAMPOS DOS GOYTACAZES,47,26.4,0.6,-21.71472222,23.4,32.5,RJ,3.3,A607,-41.34388888
82.4,2022-01-03,CAMPOS DOS GOYTACAZES,58,25.1,0,-21.71472222,23.2,30.8,RJ,2.9,A607,-41.34388888
78.6,2022-01-04,CAMPOS DOS GOYTACAZES,55,25.7,0.6,-21.71472222,22.5,31,RJ,4.2,A607,-41.34388888
68.9,2022-01-05,CAMPOS DOS GOYTACAZES,40,27.4,0.2,-21.71472222,22.4,34.6,RJ,3.9,A607,-41.34388888
76.5,2022-01-06,CAMPOS DOS GOYTACAZES,52,26.9,0,-21.71472222,24.1,32.8,RJ,2.4,A607,-41.34388888
86,2022-01-07,CAMPOS DOS GOYTACAZES,61,25,3,-21.71472222,23.5,30.7,RJ,2.6,A607,-41.34388888
92.1,2022-01-08,CAMPOS DOS GOYTACAZES,86,23,28.4,-21.71472222,22.8,25.5,RJ,2.9,A607,-41.34388888
93,2022-01-09,CAMPOS DOS GOYTACAZES,90,21.8,41.8,-21.71472222,21.4,22.9,RJ,2.1,A607,-41.34388888
85.4,2022-01-10,CAMPOS DOS GOYTACAZES,63,24.5,21,-21.71472222,21,30.8,RJ,2.1,A607,-41.34388888
83,2022-01-11,CAMPOS DOS GOYTACAZES,50,26,1.8,-21.71472222,22.7,34.2,RJ,2.3,A607,-41.34388888
76,2022-01-12,CAMPOS DOS GOYTACAZES,47,27.7,2,-21.71472222,23.2,35.1,RJ,2.4,A607,-41.34388888
73.7,2022-01-13,CAMPOS DOS GOYTACAZES,49,,,-21.71472222,24.1,34.4,RJ,2.3,A607,-41.34388888
71.8,2022-01-14,CAMPOS DOS GOYTACAZES,42,26.7,0,-21.71472222,22.8,32.4,RJ,2.1,A607,-41.34388888
75.5,2022-01-15,CAMPOS DOS GOYTACAZES,52,26,0,-21.71472222,22.2,31,RJ,2,A607,-41.34388888
77.3,2022-01-16,CAMPOS DOS GOYTACAZES,57,26.1,0,-21.71472222,23,30.8,RJ,3,A607,-41.34388888
73.6,2022-01-17,CAMPOS DOS GOYTACAZES,53,26.5,0,-21.71472222,23,30.9,RJ,4,A607,-41.34388888
75.4,2022-01-18,CAMPOS DOS GOYTACAZES,49,26.9,0,-21.71472222,23.1,33,RJ,4,A607,-41.34388888
72,2022-01-19,CAMPOS DOS GOYTACAZES,45,27.2,0,-21.71472222,23.8,32.1,RJ,4,A607,-41.34388888
74.6,2022-01-20,CAMPOS DOS GOYTACAZES,50,27.1,0,-21.71472222,23.9,32.3,RJ,3.2,A607,-41.34388888
74.2,2022-01-21,CAMPOS DOS GOYTACAZES,44,26.6,0,-21.71472222,22.6,32,RJ,2.3,A607,-41.34388888
74.9,2022-01-22,CAMPOS DOS GOYTACAZES,48,26.3,0,-21.71472222,22.5,31.5,RJ,2.7,A607,-41.34388888
73.6,2022-01-23,CAMPOS DOS GOYTACAZES,45,25.9,0,-21.71472222,21.1,32,RJ,3.3,A607,-41.34388888
72,2022-01-24,CAMPOS DOS GOYTACAZES,42,26.3,0,-21.71472222,22.1,31.8,RJ,3.7,A607,-41.34388888
72.4,2022-01-25,CAMPOS DOS GOYTACAZES,44,26.4,0,-21.71472222,22.4,31.3,RJ,3.5,A607,-41.34388888
72.4,2022-01-26,CAMPOS DOS GOYTACAZES,37,26.5,0,-21.71472222,22.1,33.5,RJ,3.4,A607,-41.34388888
66.5,2022-01-27,CAMPOS DOS GOYTACAZES,37,27.2,0,-21.71472222,21.5,35.6,RJ,3.9,A607,-41.34388888
69.8,2022-01-28,CAMPOS DOS GOYTACAZES,32,28.1,0,-21.71472222,22.9,37.3,RJ,3.2,A607,-41.34388888
