UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
72.7,2017-01-01,VALENÇA,39,26.9,6.2,-22.35805555,21.1,34.9,RJ,1.3,A611,-43.69555555
80.6,2017-01-02,VALENÇA,46,25.2,0,-22.35805555,21.4,34.4,RJ,1,A611,-43.69555555
80.8,2017-01-03,VALENÇA,45,25.1,11.4,-22.35805555,21,33.8,RJ,0.9,A611,-43.69555555
76.6,2017-01-04,VALENÇA,49,25.2,24.2,-22.35805555,20,32.7,RJ,2,A611,-43.69555555
76.3,2017-01-05,VALENÇA,42,25.4,0,-22.35805555,21.7,34.1,RJ,1.8,A611,-43.69555555
76.3,2017-01-06,VALENÇA,34,25.5,10.6,-22.35805555,19.5,34.5,RJ,1.3,A611,-43.69555555
80.3,2017-01-07,VALENÇA,47,25.5,0.2,-22.35805555,22,33.6,RJ,1.3,A611,-43.69555555
84.3,2017-01-08,VALENÇA,56,23.9,35,-22.35805555,21.1,30.6,RJ,2.1,A611,-43.69555555
80.3,2017-01-09,VALENÇA,49,24.6,39.6,-22.35805555,20.8,33.4,RJ,2.1,A611,-43.69555555
79.4,2017-01-10,VALENÇA,47,25.3,0.4,-22.35805555,20.6,33.9,RJ,1.3,A611,-43.69555555
84.5,2017-01-11,VALENÇA,47,23.7,0.2,-22.35805555,20.3,34,RJ,1.3,A611,-43.69555555
85.6,2017-01-12,VALENÇA,74,24.1,0,-22.35805555,21.9,26.5,RJ,0.9,A611,-43.69555555
90.6,2017-01-13,VALENÇA,78,23.1,0.2,-22.35805555,21.9,25.4,RJ,0.5,A611,-43.69555555
79.6,2017-01-14,VALENÇA,48,24.6,12.6,-22.35805555,20.5,31.8,RJ,1.1,A611,-43.69555555
83.1,2017-01-15,VALENÇA,51,24.5,0,-22.35805555,21,32.1,RJ,1.6,A611,-43.69555555
81.2,2017-01-16,VALENÇA,51,24.8,1.6,-22.35805555,21.5,31.5,RJ,2,A611,-43.69555555
