UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
,2021-01-01,ITATIAIA - AGULHAS NEGRAS,78,,,-22.37388888,9.8,,RJ,,A635,-44.70305555
,2021-01-02,ITATIAIA - AGULHAS NEGRAS,,,,-22.37388888,,,RJ,,A635,-44.70305555
,2021-01-03,ITATIAIA - AGULHAS NEGRAS,,,,-22.37388888,,,RJ,,A635,-44.70305555
,2021-01-04,ITATIAIA - AGULHAS NEGRAS,69,,,-22.37388888,,,RJ,,A635,-44.70305555
83.2,2021-01-05,ITATIAIA - AGULHAS NEGRAS,47,13.9,,-22.37388888,10,19.2,RJ,2.5,A635,-44.70305555
92.1,2021-01-06,ITATIAIA - AGULHAS NEGRAS,62,13.7,2,-22.37388888,11.8,20.2,RJ,3,A635,-44.70305555
87.3,2021-01-07,ITATIAIA - AGULHAS NEGRAS,70,14.1,18.8,-22.37388888,11.8,19.8,RJ,2.2,A635,-44.70305555
92.4,2021-01-08,ITATIAIA - AGULHAS NEGRAS,74,13.2,23.6,-22.37388888,10.8,17.6,RJ,1.6,A635,-44.70305555
95.2,2021-01-09,ITATIAIA - AGULHAS NEGRAS,78,13,2.4,-22.37388888,8.2,16.8,RJ,1.5,A635,-44.70305555
94.2,2021-01-10,ITATIAIA - AGULHAS NEGRAS,70,14.1,39.4,-22.37388888,9.9,19.2,RJ,2.1,A635,-44.70305555
94.8,2021-01-11,ITATIAIA - AGULHAS NEGRAS,81,14,15.8,-22.37388888,11.9,18.2,RJ,2.4,A635,-44.70305555
92.8,2021-01-12,ITATIAIA - AGULHAS NEGRAS,70,14.2,21.2,-22.37388888,12.9,18.3,RJ,1.8,A635,-44.70305555
93.9,2021-01-13,ITATIAIA - AGULHAS NEGRAS,80,13.3,26.4,-22.37388888,9.2,17.9,RJ,2,A635,-44.70305555
88,2021-01-14,ITATIAIA - AGULHAS NEGRAS,57,12.6,75.2,-22.37388888,10.8,16.7,RJ,2.5,A635,-44.70305555
