DT_MEDICAO,TEMP_MIN,TEMP_MED,TEMP_MAX,CHUVA,UMID_MIN,UMID_MED,VEL_VENTO_MED
2017-08-31,,,,,,,
2017-09-01,,,,,32.0,,
2017-09-02,,,,,5.0,53.7,
2017-09-03,-3.7,7.1,17.0,0.0,12.0,41.4,2.6
2017-09-04,0.8,9.6,17.4,,6.0,28.7,2.8
2017-09-05,-5.4,7.8,17.6,0.0,7.0,42.3,2.6
2017-09-06,-5.0,5.7,15.9,0.0,47.0,75.0,2.0
2017-09-07,-3.8,,16.4,0.0,41.0,76.9,1.7
2017-09-08,-5.8,5.0,17.1,,36.0,73.4,1.7
2017-09-09,-5.0,,18.4,,11.0,66.5,1.9
2017-09-10,-4.5,10.0,18.2,0.0,11.0,45.4,2.9
2017-09-11,6.8,10.4,18.0,0.0,44.0,80.5,3.1
2017-09-12,-1.8,8.7,19.1,0.0,38.0,77.7,1.8
2017-09-13,0.9,12.0,19.7,0.0,8.0,39.9,2.8
2017-09-14,2.4,12.0,19.5,0.0,9.0,38.6,2.2
2017-09-15,-3.3,10.7,20.5,0.0,11.0,46.8,2.6
2017-09-16,-1.8,9.4,20.4,0.0,8.0,54.3,2.4
2017-09-17,-0.6,10.2,18.0,0.0,38.0,63.5,2.0
2017-09-18,0.0,8.9,17.1,,34.0,76.4,1.9
2017-09-19,5.4,10.5,17.6,0.0,28.0,61.8,2.7
2017-09-20,-1.0,8.6,16.9,,39.0,77.9,2.0
2017-09-21,-3.9,7.8,17.7,0.0,17.0,67.8,2.2
2017-09-22,4.0,10.4,17.1,0.0,16.0,45.6,3.1
2017-09-23,-0.8,11.1,18.1,0.0,9.0,43.1,2.8
2017-09-24,1.0,8.7,16.7,0.0,40.0,71.0,2.1
2017-09-25,4.8,8.4,15.9,0.0,13.0,47.1,2.9
2017-09-26,-1.9,7.6,16.2,0.0,45.0,78.3,2.5
2017-09-27,6.3,10.2,17.5,0.0,43.0,72.9,2.7
2017-09-28,5.2,11.3,17.6,2.4,48.0,72.9,2.0
2017-09-29,5.6,11.0,17.9,6.0,53.0,81.6,2.5
2017-09-30,8.2,9.0,10.9,83.8,80.0,97.8,6.1
2017-10-01,5.5,10.0,15.6,24.4,49.0,80.8,7.0
2017-10-02,10.1,10.8,12.4,0.0,70.0,90.5,5.7
2017-10-03,8.2,8.9,11.5,40.0,66.0,93.8,5.3
2017-10-04,3.5,8.0,10.5,4.2,29.0,84.6,3.1
2017-10-05,8.5,12.0,18.5,0.0,48.0,82.0,3.4
2017-10-06,0.5,11.0,21.1,0.2,32.0,66.4,1.7
2017-10-07,5.0,10.7,16.6,0.0,64.0,88.9,1.6
2017-10-08,9.2,12.4,18.3,0.0,53.0,81.7,2.8
2017-10-09,9.5,14.0,20.3,0.4,46.0,74.3,2.4
2017-10-10,5.7,12.7,19.8,0.0,44.0,79.8,1.5
2017-10-11,3.6,12.3,20.2,0.0,50.0,78.8,2.0
2017-10-12,9.6,14.3,22.0,0.2,36.0,66.2,3.2
2017-10-13,4.6,13.9,22.2,0.0,32.0,63.6,2.3
2017-10-14,3.0,12.6,21.3,0.0,36.0,68.5,1.6
2017-10-15,5.6,12.1,18.4,0.0,59.0,87.8,2.0
2017-10-16,5.6,11.0,17.5,0.0,68.0,88.7,1.7
2017-10-17,4.2,10.1,15.5,0.0,51.0,81.7,2.9
2017-10-18,0.9,11.4,18.6,0.0,40.0,73.5,2.1
2017-10-19,6.1,11.6,18.6,0.2,40.0,66.3,2.8
2017-10-20,4.1,11.3,19.7,0.0,41.0,70.5,1.8
2017-10-21,8.2,13.5,20.7,0.0,43.0,67.4,3.6
2017-10-22,10.1,12.3,15.8,2.2,58.0,84.0,5.1
2017-10-23,9.0,10.4,12.1,10.2,77.0,89.2,4.4
2017-10-24,8.6,11.5,16.3,1.8,68.0,86.3,2.7
2017-10-25,7.5,12.9,18.8,0.0,51.0,87.1,2.5
2017-10-26,8.4,12.8,17.2,12.2,53.0,76.8,3.9
2017-10-27,6.1,12.7,18.5,4.6,61.0,80.8,5.2
2017-10-28,8.6,11.2,16.3,25.6,64.0,91.3,7.3
2017-10-29,10.0,12.1,16.0,0.0,42.0,91.5,2.6
2017-10-30,9.0,11.1,13.3,2.4,77.0,95.7,3.3
2017-10-31,9.2,10.9,14.7,30.6,81.0,95.1,4.5
2017-11-01,5.1,8.6,13.4,0.6,86.0,96.9,2.0
2017-11-02,0.2,8.5,15.4,0.0,28.0,79.8,2.2
2017-11-03,5.5,11.0,17.3,0.2,48.0,81.3,3.3
2017-11-04,7.5,10.6,12.0,0.0,79.0,97.3,4.7
2017-11-05,9.9,12.0,17.7,2.6,67.0,92.7,3.2
2017-11-06,9.6,10.4,12.8,4.4,98.0,98.0,1.5
2017-11-07,4.5,9.7,14.0,2.0,81.0,96.0,1.9
2017-11-08,3.7,9.3,14.1,0.0,78.0,94.8,2.6
2017-11-09,5.8,10.9,15.8,0.2,64.0,89.7,2.1
2017-11-10,8.7,12.0,16.2,1.2,70.0,91.3,3.0
2017-11-11,10.3,11.3,13.0,60.0,98.0,98.0,5.0
2017-11-12,5.9,10.5,16.1,7.8,46.0,75.5,3.4
2017-11-13,5.5,10.7,16.9,0.2,34.0,57.2,2.1
2017-11-14,-0.4,8.8,17.8,0.0,46.0,76.5,1.8
2017-11-15,2.5,10.9,17.8,0.0,61.0,85.2,2.3
2017-11-16,7.8,11.9,19.6,0.2,48.0,84.1,2.5
2017-11-17,6.2,12.6,17.4,24.8,61.0,86.2,3.2
2017-11-18,9.5,12.4,17.6,0.0,68.0,92.0,4.4
2017-11-19,10.4,11.6,13.6,5.4,97.0,98.0,4.9
2017-11-20,10.5,11.8,14.0,24.4,87.0,96.4,1.7
2017-11-21,10.4,11.9,14.0,10.0,87.0,95.5,3.2
2017-11-22,10.6,11.6,12.7,48.8,95.0,98.0,6.0
2017-11-23,8.3,10.4,14.6,44.8,92.0,97.4,
2017-11-24,4.4,12.0,18.4,0.2,34.0,75.0,
2017-11-25,3.9,11.8,18.2,0.0,41.0,82.7,
2017-11-26,9.4,11.2,13.9,21.0,88.0,96.8,
2017-11-27,9.3,11.3,12.9,3.0,91.0,97.8,
2017-11-28,9.4,11.7,15.3,6.2,80.0,95.0,
2017-11-29,1.7,10.4,16.3,8.4,45.0,85.6,
2017-11-30,5.5,10.2,16.0,0.0,68.0,89.3,
2017-12-01,7.1,9.5,12.5,19.2,72.0,94.3,
2017-12-02,4.5,10.0,13.6,10.2,79.0,94.1,
2017-12-03,8.1,11.5,15.4,0.2,87.0,96.8,
2017-12-04,10.1,13.6,19.6,10.2,68.0,91.9,
2017-12-05,7.1,13.2,18.6,0.8,58.0,85.5,
2017-12-06,7.8,12.7,17.5,0.2,71.0,91.0,
2017-12-07,10.7,12.5,17.1,0.0,70.0,94.0,
2017-12-08,11.3,12.7,15.0,15.2,89.0,97.5,
2017-12-09,9.0,12.3,16.7,36.2,68.0,92.6,
2017-12-10,6.2,11.5,16.3,6.4,27.0,67.3,
2017-12-11,7.6,12.9,18.9,0.0,24.0,65.6,
2017-12-12,7.7,10.0,14.8,0.0,58.0,88.9,
2017-12-13,3.5,11.2,18.3,2.0,53.0,84.1,
2017-12-14,3.3,10.6,17.5,0.0,52.0,87.9,
2017-12-15,7.3,11.6,16.3,8.8,69.0,92.0,
2017-12-16,6.9,12.2,18.7,16.0,58.0,85.3,
2017-12-17,9.7,12.7,18.5,8.0,65.0,88.1,
2017-12-18,7.0,12.4,17.1,2.6,63.0,86.5,
2017-12-19,7.1,12.7,18.5,0.4,42.0,81.5,
2017-12-20,3.5,11.9,18.8,12.8,28.0,76.4,2.2
2017-12-21,11.0,12.3,18.2,2.2,59.0,89.3,4.2
2017-12-22,9.5,10.9,12.7,16.2,61.0,88.1,5.4
2017-12-23,10.2,12.7,18.1,2.6,66.0,86.0,4.8
2017-12-24,11.2,13.8,18.4,1.2,68.0,83.9,4.5
2017-12-25,9.5,14.7,20.8,0.2,62.0,89.1,2.9
2017-12-26,12.3,15.0,20.1,9.4,61.0,89.8,
2017-12-27,7.4,13.0,18.7,0.2,64.0,89.7,
2017-12-28,9.7,13.3,18.9,7.2,65.0,86.7,
2017-12-29,10.1,12.3,16.0,18.8,71.0,90.8,
2017-12-30,9.4,,13.1,,88.0,98.0,
2017-12-31,9.8,11.4,12.8,34.8,98.0,98.0,
2018-01-01,10.5,12.6,17.2,6.8,79.0,95.3,
2018-01-02,8.7,12.8,16.7,12.2,72.0,94.9,
2018-01-03,11.9,12.7,15.4,4.6,97.0,98.0,
2018-01-04,10.1,11.9,14.7,14.0,93.0,97.3,
2018-01-05,8.9,12.2,14.1,27.6,92.0,97.9,
2018-01-06,9.8,11.5,14.3,41.2,81.0,95.7,
2018-01-07,10.2,11.6,12.5,50.4,95.0,98.1,
2018-01-08,9.6,10.9,12.4,32.4,89.0,96.3,
2018-01-09,8.2,12.1,16.3,14.6,62.0,87.9,
2018-01-10,9.3,12.4,17.9,0.2,62.0,87.1,
2018-01-11,6.6,11.6,17.7,7.0,52.0,85.9,
2018-01-12,7.7,11.0,13.7,36.4,72.0,91.8,
2018-01-13,7.4,11.2,16.7,14.0,66.0,91.3,
2018-01-14,9.5,12.2,18.0,9.2,67.0,91.5,
2018-01-15,10.0,12.4,17.7,13.8,68.0,87.7,
2018-01-16,10.1,13.0,17.2,15.8,62.0,82.7,
2018-01-17,8.6,13.5,18.6,0.4,71.0,90.0,
2018-01-18,11.2,14.3,19.5,0.2,56.0,83.5,
2018-01-19,8.5,13.6,19.6,0.0,60.0,83.5,
2018-01-20,11.2,13.1,18.8,0.0,61.0,86.9,
2018-01-21,11.0,14.1,18.9,24.2,56.0,77.3,
2018-01-22,6.4,12.8,19.4,0.0,62.0,86.0,
2018-01-23,10.4,13.9,19.1,21.2,59.0,83.4,2.0
2018-01-24,8.0,13.4,18.4,2.4,57.0,83.9,1.8
2018-01-25,9.5,13.1,18.0,5.6,66.0,88.8,2.5
2018-01-26,11.1,12.3,17.0,29.2,68.0,92.2,2.4
2018-01-27,10.8,12.1,14.0,62.4,94.0,97.8,2.5
2018-01-28,8.5,12.7,16.5,0.8,79.0,91.0,2.3
2018-01-29,11.1,12.9,16.1,5.0,75.0,94.7,3.1
2018-01-30,11.3,12.5,14.2,22.6,96.0,98.0,3.8
2018-01-31,9.5,11.7,16.0,9.6,82.0,96.1,2.4
2018-02-01,1.7,10.4,16.4,0.0,41.0,80.7,2.4
2018-02-02,5.0,11.6,16.5,0.0,67.0,86.3,1.7
2018-02-03,7.1,11.7,16.0,1.4,67.0,89.0,2.4
2018-02-04,6.7,10.8,15.4,0.0,57.0,87.8,3.1
2018-02-05,7.9,10.2,12.9,2.0,81.0,93.6,4.4
2018-02-06,9.6,11.9,16.2,3.6,71.0,89.5,1.9
2018-02-07,5.8,10.9,15.9,4.6,74.0,91.4,2.1
2018-02-08,3.0,10.8,16.8,0.2,42.0,77.1,2.4
2018-02-09,5.5,12.4,18.9,0.2,53.0,83.0,2.3
2018-02-10,8.5,13.1,19.2,0.2,64.0,89.2,2.4
2018-02-11,10.8,14.6,19.4,10.2,55.0,85.7,2.7
2018-02-12,12.9,14.8,19.6,2.8,67.0,93.1,2.2
2018-02-13,12.8,13.3,16.0,3.6,82.0,97.6,2.3
2018-02-14,9.5,12.2,16.4,36.8,81.0,97.1,1.9
2018-02-15,9.8,12.2,15.8,15.8,68.0,90.2,2.1
2018-02-16,5.5,10.8,16.4,0.2,69.0,91.8,
2018-02-17,5.5,11.0,16.2,9.0,66.0,89.3,
2018-02-18,8.2,11.3,14.9,8.4,74.0,90.7,
2018-02-19,8.1,12.2,16.8,0.4,72.0,86.0,
2018-02-20,11.2,12.8,16.7,8.0,77.0,92.5,
2018-02-21,11.8,12.8,14.3,1.0,88.0,97.3,
2018-02-22,6.2,12.6,19.3,16.8,67.0,88.3,
2018-02-23,11.2,12.3,16.3,15.2,85.0,96.9,
2018-02-24,10.5,11.9,15.0,0.4,81.0,95.9,
2018-02-25,10.5,12.2,17.5,18.0,65.0,94.5,
2018-02-26,10.8,11.5,12.6,34.4,98.0,98.7,
2018-02-27,10.3,11.5,13.8,18.6,87.0,95.9,
2018-02-28,10.1,13.3,17.6,2.2,74.0,89.6,
2018-03-01,8.9,13.8,19.1,6.0,47.0,90.2,
2018-03-02,7.3,13.7,19.4,2.6,69.0,90.8,
2018-03-03,9.7,13.6,18.4,23.0,68.0,89.3,
2018-03-04,7.0,13.3,18.9,31.8,74.0,92.8,
2018-03-05,11.3,13.7,17.9,61.2,66.0,91.2,
2018-03-06,8.2,13.7,18.5,3.6,66.0,88.3,
2018-03-07,10.5,13.7,19.0,6.0,72.0,93.1,
2018-03-08,11.9,13.2,15.5,66.2,95.0,97.9,
2018-03-09,10.4,13.2,16.4,17.6,85.0,95.7,
2018-03-10,11.0,13.0,15.8,3.6,92.0,97.3,
2018-03-11,7.9,13.5,17.4,3.4,27.0,75.4,
2018-03-12,8.2,13.6,18.7,0.0,25.0,71.9,
2018-03-13,10.4,13.4,17.1,3.6,65.0,91.7,
2018-03-14,5.8,14.1,20.1,2.0,59.0,81.3,
2018-03-15,11.2,14.4,20.5,5.8,51.0,78.2,
2018-03-16,9.0,13.5,18.9,0.2,65.0,87.4,
