UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
84,2022-01-01,ANGRA DOS REIS,51,25.1,13.8,-22.97555554,21.9,30,RJ,0.9,A628,-44.30333333
88.6,2022-01-02,ANGRA DOS REIS,63,25.3,13.2,-22.97555554,23.2,33,RJ,0.6,A628,-44.30333333
86,2022-01-03,ANGRA DOS REIS,60,25.9,5.8,-22.97555554,22.8,32.2,RJ,0.4,A628,-44.30333333
84.5,2022-01-04,ANGRA DOS REIS,59,26.7,7.4,-22.97555554,23.4,32.8,RJ,0.5,A628,-44.30333333
85.8,2022-01-05,ANGRA DOS REIS,48,27,5.2,-22.97555554,24.1,33.2,RJ,0.4,A628,-44.30333333
90.5,2022-01-06,ANGRA DOS REIS,69,25.3,5.8,-22.97555554,23.5,31.8,RJ,1,A628,-44.30333333
95.8,2022-01-07,ANGRA DOS REIS,87,23.2,103.8,-22.97555554,22.8,24.3,RJ,0.4,A628,-44.30333333
96,2022-01-08,ANGRA DOS REIS,84,22.1,46.2,-22.97555554,22.2,23.8,RJ,0.5,A628,-44.30333333
93.6,2022-01-09,ANGRA DOS REIS,86,21.2,32.4,-22.97555554,20.3,23.1,RJ,0.4,A628,-44.30333333
85.4,2022-01-10,ANGRA DOS REIS,66,21.6,9.2,-22.97555554,18.9,25.4,RJ,0.3,A628,-44.30333333
90,2022-01-11,ANGRA DOS REIS,77,23.3,4,-22.97555554,21.1,26.6,RJ,0.4,A628,-44.30333333
88.7,2022-01-12,ANGRA DOS REIS,69,24.2,24.6,-22.97555554,21.4,27.9,RJ,0.4,A628,-44.30333333
89.7,2022-01-13,ANGRA DOS REIS,66,24.8,2.8,-22.97555554,21.6,30.8,RJ,0.4,A628,-44.30333333
87.3,2022-01-14,ANGRA DOS REIS,72,25.9,0.8,-22.97555554,22.6,30.6,RJ,0.2,A628,-44.30333333
86.4,2022-01-15,ANGRA DOS REIS,66,26.6,0.2,-22.97555554,23.4,30.9,RJ,0.4,A628,-44.30333333
84.4,2022-01-16,ANGRA DOS REIS,59,26.2,0,-22.97555554,24.2,32.4,RJ,0.6,A628,-44.30333333
77.3,2022-01-17,ANGRA DOS REIS,43,26.6,22.8,-22.97555554,21,34.9,RJ,0.5,A628,-44.30333333
80.3,2022-01-18,ANGRA DOS REIS,55,28.2,0.6,-22.97555554,23.2,35.9,RJ,1.1,A628,-44.30333333
82.8,2022-01-19,ANGRA DOS REIS,68,28,0.2,-22.97555554,24.9,32.3,RJ,0.9,A628,-44.30333333
81.7,2022-01-20,ANGRA DOS REIS,65,28.3,0,-22.97555554,24.9,32.5,RJ,0.6,A628,-44.30333333
76.8,2022-01-21,ANGRA DOS REIS,56,28,0,-22.97555554,24.1,32.7,RJ,0.7,A628,-44.30333333
