UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
83.1,2020-01-01,ARRAIAL DO CABO,62,25.5,0,-22.97527777,23.8,28.2,RJ,8.8,A606,-42.02138888
85.3,2020-01-02,ARRAIAL DO CABO,53,25.9,0,-22.97527777,23.4,31.1,RJ,3.6,A606,-42.02138888
86.2,2020-01-03,ARRAIAL DO CABO,54,25.5,2.6,-22.97527777,23.2,29.9,RJ,2.4,A606,-42.02138888
87.9,2020-01-04,ARRAIAL DO CABO,66,25.2,0,-22.97527777,23.7,28.8,RJ,2.8,A606,-42.02138888
92.7,2020-01-05,ARRAIAL DO CABO,77,24.9,8.8,-22.97527777,22.5,28.1,RJ,2,A606,-42.02138888
93.3,2020-01-06,ARRAIAL DO CABO,77,25.8,3,-22.97527777,23.7,28.7,RJ,3.2,A606,-42.02138888
90.4,2020-01-07,ARRAIAL DO CABO,75,26.6,0.4,-22.97527777,24.2,29.6,RJ,3.1,A606,-42.02138888
91,2020-01-08,ARRAIAL DO CABO,65,26.6,0,-22.97527777,24.5,31,RJ,3.1,A606,-42.02138888
88.1,2020-01-09,ARRAIAL DO CABO,63,27,0,-22.97527777,24.6,30.1,RJ,2.6,A606,-42.02138888
90,2020-01-10,ARRAIAL DO CABO,77,27.1,0,-22.97527777,25.1,29.5,RJ,3.7,A606,-42.02138888
85.4,2020-01-11,ARRAIAL DO CABO,70,27.1,0,-22.97527777,24.7,30.8,RJ,5.5,A606,-42.02138888
85.6,2020-01-12,ARRAIAL DO CABO,60,27.9,1,-22.97527777,25.2,31.7,RJ,2.7,A606,-42.02138888
95.3,2020-01-13,ARRAIAL DO CABO,77,25.4,64.8,-22.97527777,24,26.9,RJ,2.3,A606,-42.02138888
74.9,2020-01-14,ARRAIAL DO CABO,56,25.7,12.4,-22.97527777,22.6,29.9,RJ,2.5,A606,-42.02138888
74.4,2020-01-15,ARRAIAL DO CABO,63,25.5,0,-22.97527777,23.3,27.9,RJ,6.4,A606,-42.02138888
83.4,2020-01-16,ARRAIAL DO CABO,67,26.3,0,-22.97527777,24.2,29.7,RJ,6.4,A606,-42.02138888
92.9,2020-01-17,ARRAIAL DO CABO,71,25.2,0,-22.97527777,23.7,27.8,RJ,3.1,A606,-42.02138888
74.4,2020-01-18,ARRAIAL DO CABO,57,24.5,4,-22.97527777,22.1,27.5,RJ,2.3,A606,-42.02138888
71.6,2020-01-19,ARRAIAL DO CABO,63,24.7,0,-22.97527777,21.7,27.1,RJ,1.8,A606,-42.02138888
74.6,2020-01-20,ARRAIAL DO CABO,60,24.8,0,-22.97527777,22.4,27.9,RJ,2.2,A606,-42.02138888
86.3,2020-01-21,ARRAIAL DO CABO,71,25,0,-22.97527777,22.8,27.7,RJ,1.9,A606,-42.02138888
87,2020-01-22,ARRAIAL DO CABO,66,25.3,0,-22.97527777,23.2,28.5,RJ,2,A606,-42.02138888
92.9,2020-01-23,ARRAIAL DO CABO,71,24.5,0,-22.97527777,23.5,29.3,RJ,1.6,A606,-42.02138888
95.5,2020-01-24,ARRAIAL DO CABO,87,23.2,9.2,-22.97527777,22,25.1,RJ,1.6,A606,-42.02138888
87.5,2020-01-25,ARRAIAL DO CABO,64,24.6,1.2,-22.97527777,22.1,27.4,RJ,4.8,A606,-42.02138888
87.2,2020-01-26,ARRAIAL DO CABO,71,25.1,0,-22.97527777,21,28.2,RJ,3,A606,-42.02138888
89,2020-01-27,ARRAIAL DO CABO,75,25.7,0,-22.97527777,24,28,RJ,7.3,A606,-42.02138888
89.3,2020-01-28,ARRAIAL DO CABO,68,26.6,0,-22.97527777,24.3,30.4,RJ,4.9,A606,-42.02138888
87.3,2020-01-29,ARRAIAL DO CABO,72,27.2,0,-22.97527777,24.4,31.2,RJ,3.5,A606,-42.02138888
90.5,2020-01-30,ARRAIAL DO CABO,68,27.5,0,-22.97527777,25.3,32.2,RJ,5.5,A606,-42.02138888
93.6,2020-01-31,ARRAIAL DO CABO,84,26.2,10.8,-22.97527777,23.3,29.1,RJ,4.6,A606,-42.02138888
90.3,2020-02-01,ARRAIAL DO CABO,71,27,2,-22.97527777,24.8,29.8,RJ,1.9,A606,-42.02138888
92,2020-02-02,ARRAIAL DO CABO,78,27,0,-22.97527777,25.8,29.7,RJ,2,A606,-42.02138888
91.9,2020-02-03,ARRAIAL DO CABO,83,26.9,3.8,-22.97527777,25.1,29.8,RJ,4.1,A606,-42.02138888
93.9,2020-02-04,ARRAIAL DO CABO,84,26.1,17.8,-22.97527777,23.2,28.1,RJ,6.5,A606,-42.02138888
98.1,2020-02-05,ARRAIAL DO CABO,93,25.6,0.4,-22.97527777,25,26.3,RJ,6.8,A606,-42.02138888
97.4,2020-02-06,ARRAIAL DO CABO,86,25.1,0,-22.97527777,24.2,26.5,RJ,5.6,A606,-42.02138888
90.3,2020-02-07,ARRAIAL DO CABO,76,25.6,1,-22.97527777,23.7,29,RJ,5.2,A606,-42.02138888
86.5,2020-02-08,ARRAIAL DO CABO,71,25.7,0,-22.97527777,23.6,28.2,RJ,6.2,A606,-42.02138888
81,2020-02-09,ARRAIAL DO CABO,50,26.8,0,-22.97527777,23.9,31.9,RJ,5.1,A606,-42.02138888
84,2020-02-10,ARRAIAL DO CABO,58,26.4,0,-22.97527777,25.1,29.5,RJ,2.8,A606,-42.02138888
,2020-02-11,ARRAIAL DO CABO,98,22.7,73.2,-22.97527777,21.6,24.5,RJ,2.8,A606,-42.02138888
,2020-02-12,ARRAIAL DO CABO,96,21.6,53.6,-22.97527777,20.4,23.9,RJ,2.2,A606,-42.02138888
92.7,2020-02-13,ARRAIAL DO CABO,78,22.8,22.8,-22.97527777,20.6,27.3,RJ,2.4,A606,-42.02138888
90.2,2020-02-14,ARRAIAL DO CABO,76,24.7,0,-22.97527777,22.5,27,RJ,2.2,A606,-42.02138888
92.6,2020-02-15,ARRAIAL DO CABO,83,25.7,0,-22.97527777,23.1,28.5,RJ,4.3,A606,-42.02138888
93.5,2020-02-16,ARRAIAL DO CABO,80,26.3,0,-22.97527777,25,28.6,RJ,6.5,A606,-42.02138888
88.1,2020-02-17,ARRAIAL DO CABO,66,26.3,0,-22.97527777,24.9,29,RJ,7.5,A606,-42.02138888
91.6,2020-02-18,ARRAIAL DO CABO,73,25.8,0,-22.97527777,24.2,28.4,RJ,8.7,A606,-42.02138888
88.3,2020-02-19,ARRAIAL DO CABO,63,25.5,0,-22.97527777,23.8,28.3,RJ,8,A606,-42.02138888
90,2020-02-20,ARRAIAL DO CABO,63,25.3,0,-22.97527777,23,30.4,RJ,5.8,A606,-42.02138888
89.2,2020-02-21,ARRAIAL DO CABO,62,25.7,0,-22.97527777,23.1,30.2,RJ,3.3,A606,-42.02138888
93.4,2020-02-22,ARRAIAL DO CABO,73,24,9,-22.97527777,22.7,26.2,RJ,3,A606,-42.02138888
83,2020-02-23,ARRAIAL DO CABO,66,23.7,2.6,-22.97527777,21.1,26.4,RJ,2.2,A606,-42.02138888
84.5,2020-02-24,ARRAIAL DO CABO,63,23.6,0,-22.97527777,20.6,27.1,RJ,3.9,A606,-42.02138888
91.9,2020-02-25,ARRAIAL DO CABO,76,24.8,2.4,-22.97527777,22,27.8,RJ,6.9,A606,-42.02138888
89.2,2020-02-26,ARRAIAL DO CABO,74,26.1,0,-22.97527777,24.4,29,RJ,4.2,A606,-42.02138888
92.8,2020-02-27,ARRAIAL DO CABO,75,25,0,-22.97527777,24.2,28.6,RJ,4.1,A606,-42.02138888
94.7,2020-02-28,ARRAIAL DO CABO,73,22.8,21,-22.97527777,21.5,25.1,RJ,1.8,A606,-42.02138888
93.3,2020-02-29,ARRAIAL DO CABO,73,24.1,4.6,-22.97527777,22.2,25.7,RJ,3.1,A606,-42.02138888
98.4,2020-03-01,ARRAIAL DO CABO,93,23.3,18,-22.97527777,22.7,24.6,RJ,5.3,A606,-42.02138888
,2020-03-02,ARRAIAL DO CABO,93,21.4,26,-22.97527777,20.7,22.7,RJ,2.7,A606,-42.02138888
