UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
71.6,2019-01-01,SEROPÉDICA-ECOLOGIA AGRÍCOLA,37,27.3,0,-22.75777777,22.1,36,RJ,2.3,A601,-43.68472221
72.8,2019-01-02,SEROPÉDICA-ECOLOGIA AGRÍCOLA,36,28.4,0,-22.75777777,23.6,36.5,RJ,1.9,A601,-43.68472221
57.8,2019-01-03,SEROPÉDICA-ECOLOGIA AGRÍCOLA,32,30.4,0,-22.75777777,26.4,39.1,RJ,2.4,A601,-43.68472221
61.8,2019-01-04,SEROPÉDICA-ECOLOGIA AGRÍCOLA,33,29.2,0.2,-22.75777777,26.3,37.2,RJ,2.8,A601,-43.68472221
76.7,2019-01-05,SEROPÉDICA-ECOLOGIA AGRÍCOLA,49,26.3,23.8,-22.75777777,23.3,32.8,RJ,1.9,A601,-43.68472221
72.3,2019-01-06,SEROPÉDICA-ECOLOGIA AGRÍCOLA,39,27.7,0.2,-22.75777777,23.2,34.8,RJ,2.3,A601,-43.68472221
55.1,2019-01-07,SEROPÉDICA-ECOLOGIA AGRÍCOLA,29,31.1,0,-22.75777777,24.1,38.1,RJ,2.6,A601,-43.68472221
50.5,2019-01-08,SEROPÉDICA-ECOLOGIA AGRÍCOLA,28,31.7,0,-22.75777777,27.5,38.7,RJ,2.4,A601,-43.68472221
64.5,2019-01-09,SEROPÉDICA-ECOLOGIA AGRÍCOLA,23,29.3,0,-22.75777777,23.5,36.8,RJ,1.9,A601,-43.68472221
56.3,2019-01-10,SEROPÉDICA-ECOLOGIA AGRÍCOLA,27,29.2,0,-22.75777777,22.8,36.6,RJ,2.8,A601,-43.68472221
61.5,2019-01-11,SEROPÉDICA-ECOLOGIA AGRÍCOLA,33,28.7,0,-22.75777777,22.8,36,RJ,2.6,A601,-43.68472221
68,2019-01-12,SEROPÉDICA-ECOLOGIA AGRÍCOLA,43,28.1,0,-22.75777777,22.4,34.5,RJ,2.1,A601,-43.68472221
64,2019-01-13,SEROPÉDICA-ECOLOGIA AGRÍCOLA,29,,0,-22.75777777,22.3,37.2,RJ,2,A601,-43.68472221
57.3,2019-01-14,SEROPÉDICA-ECOLOGIA AGRÍCOLA,27,29.3,0,-22.75777777,23.1,37.7,RJ,2.7,A601,-43.68472221
58,2019-01-15,SEROPÉDICA-ECOLOGIA AGRÍCOLA,28,29.6,0,-22.75777777,23.2,39,RJ,2.4,A601,-43.68472221
57.7,2019-01-16,SEROPÉDICA-ECOLOGIA AGRÍCOLA,27,29.7,0,-22.75777777,24.7,40.1,RJ,2.9,A601,-43.68472221
54.4,2019-01-17,SEROPÉDICA-ECOLOGIA AGRÍCOLA,24,29.8,0,-22.75777777,23.8,39,RJ,3.3,A601,-43.68472221
64.5,2019-01-18,SEROPÉDICA-ECOLOGIA AGRÍCOLA,35,29.1,0,-22.75777777,23.7,36.5,RJ,1.7,A601,-43.68472221
61,2019-01-19,SEROPÉDICA-ECOLOGIA AGRÍCOLA,30,30.6,0,-22.75777777,25.7,39.5,RJ,2.5,A601,-43.68472221
64.9,2019-01-20,SEROPÉDICA-ECOLOGIA AGRÍCOLA,31,29.5,0,-22.75777777,26,38.3,RJ,2,A601,-43.68472221
61.1,2019-01-21,SEROPÉDICA-ECOLOGIA AGRÍCOLA,25,30.4,0,-22.75777777,25.1,40.4,RJ,2.4,A601,-43.68472221
67.4,2019-01-22,SEROPÉDICA-ECOLOGIA AGRÍCOLA,35,29.6,0,-22.75777777,25,37.2,RJ,2.6,A601,-43.68472221
