UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
75.6,2022-01-01,SEROPÉDICA-ECOLOGIA AGRÍCOLA,52,25.7,5.6,-22.75777777,22,32.1,RJ,1.7,A601,-43.68472221
75.1,2022-01-02,SEROPÉDICA-ECOLOGIA AGRÍCOLA,50,26.4,0.4,-22.75777777,23.9,32.5,RJ,1.8,A601,-43.68472221
68.3,2022-01-03,SEROPÉDICA-ECOLOGIA AGRÍCOLA,44,27.8,2.8,-22.75777777,24,33.7,RJ,2.3,A601,-43.68472221
62.9,2022-01-04,SEROPÉDICA-ECOLOGIA AGRÍCOLA,49,28.2,3.2,-22.75777777,24.5,32.5,RJ,3.3,A601,-43.68472221
62,2022-01-05,SEROPÉDICA-ECOLOGIA AGRÍCOLA,46,28.3,0,-22.75777777,26.3,34.1,RJ,2.9,A601,-43.68472221
78.4,2022-01-06,SEROPÉDICA-ECOLOGIA AGRÍCOLA,53,26.2,6.6,-22.75777777,24.7,32.5,RJ,1.9,A601,-43.68472221
88.8,2022-01-07,SEROPÉDICA-ECOLOGIA AGRÍCOLA,76,23.6,39.6,-22.75777777,23.1,25.9,RJ,1.8,A601,-43.68472221
89.1,2022-01-08,SEROPÉDICA-ECOLOGIA AGRÍCOLA,76,23,16.2,-22.75777777,22.4,25.9,RJ,1.1,A601,-43.68472221
89.6,2022-01-09,SEROPÉDICA-ECOLOGIA AGRÍCOLA,78,21.9,25.2,-22.75777777,20.8,24.3,RJ,0.3,A601,-43.68472221
84.5,2022-01-10,SEROPÉDICA-ECOLOGIA AGRÍCOLA,66,22.4,8.8,-22.75777777,19.6,28.2,RJ,1,A601,-43.68472221
85,2022-01-11,SEROPÉDICA-ECOLOGIA AGRÍCOLA,55,24.2,7.6,-22.75777777,21.5,31.5,RJ,1.2,A601,-43.68472221
79.7,2022-01-12,SEROPÉDICA-ECOLOGIA AGRÍCOLA,61,25.4,8,-22.75777777,22.2,29.9,RJ,1.5,A601,-43.68472221
76.7,2022-01-13,SEROPÉDICA-ECOLOGIA AGRÍCOLA,57,26.4,0,-22.75777777,22.8,31.8,RJ,1.4,A601,-43.68472221
76.8,2022-01-14,SEROPÉDICA-ECOLOGIA AGRÍCOLA,46,27.6,0.6,-22.75777777,24.1,34.5,RJ,1.3,A601,-43.68472221
79,2022-01-15,SEROPÉDICA-ECOLOGIA AGRÍCOLA,54,27,0,-22.75777777,24.1,33.4,RJ,1,A601,-43.68472221
74.4,2022-01-16,SEROPÉDICA-ECOLOGIA AGRÍCOLA,45,25.8,0.4,-22.75777777,22.7,34.3,RJ,2,A601,-43.68472221
67.5,2022-01-17,SEROPÉDICA-ECOLOGIA AGRÍCOLA,34,27.9,6,-22.75777777,21.4,36.5,RJ,2.1,A601,-43.68472221
59.5,2022-01-18,SEROPÉDICA-ECOLOGIA AGRÍCOLA,29,30.5,0,-22.75777777,24.3,37.8,RJ,2.2,A601,-43.68472221
74.5,2022-01-19,SEROPÉDICA-ECOLOGIA AGRÍCOLA,41,27.9,0,-22.75777777,23.8,35.7,RJ,1.5,A601,-43.68472221
73,2022-01-20,SEROPÉDICA-ECOLOGIA AGRÍCOLA,44,27.7,0,-22.75777777,22.8,34.3,RJ,1.5,A601,-43.68472221
72.5,2022-01-21,SEROPÉDICA-ECOLOGIA AGRÍCOLA,50,27.3,0,-22.75777777,22.6,32.8,RJ,1.3,A601,-43.68472221
67.7,2022-01-22,SEROPÉDICA-ECOLOGIA AGRÍCOLA,33,27.8,0,-22.75777777,22.8,35.7,RJ,1.4,A601,-43.68472221
64.2,2022-01-23,SEROPÉDICA-ECOLOGIA AGRÍCOLA,31,27.7,0,-22.75777777,22.2,35.6,RJ,1.8,A601,-43.68472221
67.9,2022-01-24,SEROPÉDICA-ECOLOGIA AGRÍCOLA,31,27.1,0,-22.75777777,21.7,36.1,RJ,2,A601,-43.68472221
62.2,2022-01-25,SEROPÉDICA-ECOLOGIA AGRÍCOLA,27,28.1,0,-22.75777777,21.9,36.1,RJ,2,A601,-43.68472221
56,2022-01-26,SEROPÉDICA-ECOLOGIA AGRÍCOLA,32,29.2,0,-22.75777777,22.1,36.2,RJ,2.6,A601,-43.68472221
46.5,2022-01-27,SEROPÉDICA-ECOLOGIA AGRÍCOLA,25,31.1,0,-22.75777777,26.9,39,RJ,2.8,A601,-43.68472221
75.7,2022-01-28,SEROPÉDICA-ECOLOGIA AGRÍCOLA,56,26.8,0,-22.75777777,23.4,32.1,RJ,1.4,A601,-43.68472221
78.8,2022-01-29,SEROPÉDICA-ECOLOGIA AGRÍCOLA,59,25.7,8.6,-22.75777777,23.2,30.1,RJ,1.4,A601,-43.68472221
83.6,2022-01-30,SEROPÉDICA-ECOLOGIA AGRÍCOLA,62,24.5,3.2,-22.75777777,22.3,28.8,RJ,1.1,A601,-43.68472221
81.9,2022-01-31,SEROPÉDICA-ECOLOGIA AGRÍCOLA,66,25,2.2,-22.75777777,22.5,28.7,RJ,1.1,A601,-43.68472221
77.4,2022-02-01,SEROPÉDICA-ECOLOGIA AGRÍCOLA,48,26.3,,-22.75777777,22.8,32.8,RJ,1.5,A601,-43.68472221
82.5,2022-02-02,SEROPÉDICA-ECOLOGIA AGRÍCOLA,55,25.2,,-22.75777777,22.9,31.1,RJ,0.8,A601,-43.68472221
