UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
80,2021-01-01,SEROPÉDICA-ECOLOGIA AGRÍCOLA,56,25.1,3.4,-22.75777777,22.2,30.7,RJ,1.4,A601,-43.68472221
88,2021-01-02,SEROPÉDICA-ECOLOGIA AGRÍCOLA,67,23.4,2.2,-22.75777777,22.1,28.4,RJ,1.3,A601,-43.68472221
80.9,2021-01-03,SEROPÉDICA-ECOLOGIA AGRÍCOLA,60,23.7,21.6,-22.75777777,20.4,28.8,RJ,1.3,A601,-43.68472221
74.8,2021-01-04,SEROPÉDICA-ECOLOGIA AGRÍCOLA,43,25.4,4.2,-22.75777777,21.7,32,RJ,1.8,A601,-43.68472221
71.8,2021-01-05,SEROPÉDICA-ECOLOGIA AGRÍCOLA,45,26.8,0,-22.75777777,21.9,34.4,RJ,1.3,A601,-43.68472221
71.4,2021-01-06,SEROPÉDICA-ECOLOGIA AGRÍCOLA,34,27.4,0.2,-22.75777777,22.6,36.5,RJ,2,A601,-43.68472221
62.8,2021-01-07,SEROPÉDICA-ECOLOGIA AGRÍCOLA,29,28.9,0.6,-22.75777777,23.7,36.9,RJ,2.3,A601,-43.68472221
67.5,2021-01-08,SEROPÉDICA-ECOLOGIA AGRÍCOLA,47,28,0.8,-22.75777777,24.2,32.5,RJ,2.1,A601,-43.68472221
78.1,2021-01-09,SEROPÉDICA-ECOLOGIA AGRÍCOLA,57,27.1,0.2,-22.75777777,23.4,32.4,RJ,1.1,A601,-43.68472221
78.4,2021-01-10,SEROPÉDICA-ECOLOGIA AGRÍCOLA,47,27.3,0.2,-22.75777777,24,34.6,RJ,1.2,A601,-43.68472221
75.9,2021-01-11,SEROPÉDICA-ECOLOGIA AGRÍCOLA,48,27.6,49.4,-22.75777777,23.2,34.5,RJ,1.5,A601,-43.68472221
73.4,2021-01-12,SEROPÉDICA-ECOLOGIA AGRÍCOLA,40,27.7,14.2,-22.75777777,23.1,35.7,RJ,2.1,A601,-43.68472221
